Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
Anti-Extinction Gloves,1600224949,"""6917529589967405432""",,Legendary,Gauntlets,do,Warlock,1776,,10,Warlock(1758),true,false,3,10,,4,14,32,18,4,16,88,48,2,2,30,16,2,14,66,48,," - Dawn Chorus - ,  - Nezarec's Sin - , Stag PvE - ,  - Eye of Another World, Stasis","#pve, high recovery, replace 1547 lightkin gloves",Resilience Mod*,Bolstering Detonation*,Firepower*,Momentum Transfer*,Byzantium Lotus*,Upgrade Armor*,*,*,*,*,Solstice Gloves (Magnificent)*,,
Aeon Soul,2950045886,"""6917529795503053942""",,Exotic,Gauntlets,,Warlock,1600,,10,Warlock(1758),true,false,1,2,,4,17,20,20,4,14,79,51,2,15,18,18,2,12,67,51,,Aeons - ,"#neutral, #endgame #pve",Oiled Gunmetal*,Upgrade Armor*,*,*,*,*,Sect of Insight*,,,,,,
Deep Explorer Vestments,2057955626,"""6917529804444663084""",,Legendary,Chest Armor,duality,Warlock,1600,,10,Warlock(1758),true,false,5,17,,4,32,4,17,25,8,90,34,2,30,2,2,23,6,65,34,artifice,"Felwinter's Helm - , Osmiomancy - , Secant Filaments - , Rain of Fire - , Void, Delta","#pve, high resilience + high intellect",Discipline Mod*,Harmonic Resistance*,Concussive Dampener*,Charged Up*,Crucible Redjack*,Upgrade Armor*,*,*,*,*,TM-Moss Custom Duster*,Discipline-Forged*,Artifice Armor*
Corrupting Echo Robes,2515293448,"""6917529557559532687""",,Legendary,Chest Armor,30th,Warlock,1788,,10,Warlock(1758),true,false,4,15,,4,12,22,28,11,7,84,51,2,10,20,21,9,2,64,51,,"Stag PvE - ,  - Nezarec's Sin - , Stag PvE - , Stag PvE - , Stasis","#pve, high recovery + high discipline, replace iron fellowship robes since this doesnt have an artifact slot now",Minor Discipline Mod*,Charged Up*,Concussive Dampener*,Sniper Damage Resistance*,Amethyst Veil*,Upgrade Armor*,*,*,*,*,Iron Symmachy Robes*,Strength-Forged*,Artifice Armor*
Candescent Robes,2566083804,"""6917529799183113763""",,Legendary,Chest Armor,events,Warlock,1770,,10,Warlock(1758),true,false,5,17,Solstice,4,22,14,19,14,11,84,44,2,20,12,12,12,9,67,44,,Aeons - ,"#pve, high total",Minor Discipline Mod*,Concussive Dampener*,Sniper Damage Resistance*,Charged Up*,Amethyst Veil*,Upgrade Armor*,*,*,*,*,TM-Moss Custom Duster*,,
Holdfast Vest,2930001572,"""6917529200229633564""",junk,Legendary,Chest Armor,seasonpass,Hunter,1600,,10,Warlock(1758),false,false,3,11,,9,4,24,8,11,16,72,37,7,2,22,6,9,14,60,37,,PvP Wormhusk,"#pvp, high recovery",Carminica*,Upgrade Armor*,*,*,*,*,Empyrean Cartographer Vest*,,,,,,
Starfire Protocol,2082483156,"""6917529397762111142""",,Exotic,Chest Armor,,Warlock,1770,,10,Warlock(1758),true,false,1,1,,4,11,24,29,9,8,85,48,2,9,22,17,7,6,63,48,,"Starfire Protocol - , Raid","#solar, #casual #pve, viable in #endgame with classy restoration, but the build needs a way to heal without it.",Discipline Mod*,Harmonic Resistance*,Concussive Dampener*,Charged Up*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Fusion Harness*,,
Phoenix Protocol,4057299719,"""6917529179404510960""",,Exotic,Chest Armor,,Warlock,1600,,10,Warlock(1758),true,false,2,4,,10,13,20,18,15,4,80,40,8,11,13,16,13,2,63,40,,"Phoenix Protocol - , Solar","#solar, #endgame #pve, resilience is best stat atm, keep other in case something changes",Minor Recovery Mod*,Concussive Dampener*,Harmonic Resistance*,Charged Up*,Vintage Timber*,Upgrade Armor*,*,*,*,*,Phoenixfall*,Battle-Hearth*,
Eidolon Pursuant Pants,256122438,"""6917529780989550965""",,Legendary,Leg Armor,haunted,Warlock,1771,,10,Warlock(1758),true,false,5,17,,4,25,19,22,4,11,85,50,2,23,7,20,2,9,63,50,,"Stormdancers - , Osmiomancy - ",high resilience + high discipline,Recovery Mod*,Innervation*,Recuperation*,Kinetic Weapon Surge*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Starfarer's Boots*,Visage of the Reaper*,
Secant Filaments,511888814,"""6917529793208887676""",,Exotic,Leg Armor,lostsectors,Warlock,1776,,10,Warlock(1758),true,false,5,16,,8,24,13,24,8,8,85,50,6,22,6,22,6,6,68,50,,"Secant Filaments - , Void","#neutral #void, #pve, seems viable for #endgame solo content with overload or a build that heals teammates",Minor Recovery Mod*,Recuperation*,Void Weapon Surge*,Stacks on Stacks*,Royal Welcome*,Upgrade Armor*,*,*,*,*,Rayonnant Tracery*,Devouring Rift*,
Rain of Fire,1624882687,"""6917529795817651225""",,Exotic,Leg Armor,lostsectors,Warlock,1600,,10,Warlock(1758),true,false,5,17,,8,21,20,8,14,16,87,33,6,19,8,6,12,14,65,33,,"Rain of Fire - , Delta","#solar, #casual #pve, #pvp, these are slightly better than the other pair, but neither are fantastic, #mw",Recovery Mod*,Recuperation*,Solar Weapon Surge*,Stacks on Stacks*,Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Soaring Fusilier*,,
Eidolon Pursuant Pants,256122438,"""6917529780952683580""",,Legendary,Leg Armor,haunted,Warlock,1787,,10,Warlock(1758),true,false,5,17,,4,25,10,23,15,4,81,47,2,23,8,16,13,2,64,47,,"Stag PvE - , Stag Master KF, Stasis","#pve, high resilience + high total",Minor Discipline Mod*,Recuperation*,Stasis Weapon Surge*,Stacks on Stacks*,Carminica*,Upgrade Armor*,*,*,*,*,Solstice Boots (Magnificent)*,Visage of the Reaper*,
Vigil of Heroes,4086100104,"""6917529867796317124""",,Legendary,Leg Armor,strikes,Warlock,1784,,10,Warlock(1758),true,false,3,11,,4,37,4,17,9,12,83,47,2,30,2,15,7,10,66,47,,"Felwinter's Helm - , Starfire Protocol - , Phoenix Protocol - , Raid, Solar","#pve, high resilience",Minor Resilience Mod*,Recuperation*,Arc Weapon Surge*,Stacks on Stacks*,First Frost*,Upgrade Armor*,*,*,*,*,Solstice Boots (Majestic)*,,
Bond of the Wormlore,766618550,"""6917529812147544199""",,Legendary,Warlock Bond,kf,Warlock,1600,,10,Warlock(1758),true,false,5,18,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,kingsfall,Stag Master KF,#pve #raid,Gilded Smoke*,Upgrade Armor*,,,,,,,,,,,
Deep Explorer Bond,2694773307,"""6917529804444664764""",,Legendary,Warlock Bond,duality,Warlock,1778,,10,Warlock(1758),true,false,5,17,,2,2,7,5,2,2,20,0,0,0,0,0,0,0,0,0,artifice,"Starfire Protocol - , Rain of Fire - , Phoenix Protocol - , Raid, Delta, Solar",#pve #solar,Minor Recovery Mod*,Proximity Ward*,Empowered Finish*,Time Dilation*,Photo Finish*,Upgrade Armor*,Streetscholar Bond*,Discipline-Forged*,Artifice Armor*,,,,
Resonant Fury Bond,2422261368,"""6917529712739021653""",,Legendary,Warlock Bond,votd,Warlock,1600,,10,Warlock(1758),true,false,5,16,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,vowofthedisciple,"Verity's Brow - ,  - Raid VotD - ",#pve #raid,Valkyrie Zero*,Upgrade Armor*,,,,,,,,,,,
TM-Moss Custom Bond,2341879253,"""6917529862414223060""",,Legendary,Warlock Bond,dungeon,Warlock,1781,,10,Warlock(1758),true,false,5,19,,2,12,2,2,2,5,25,0,0,0,0,0,0,0,0,0,artifice,"Osmiomancy - , Stag PvE - , Aeons - , Stasis",#pve #stasis,Resilience Mod*,Bomber*,Proximity Ward*,Time Dilation*,Photo Finish*,Upgrade Armor*,Celestial Bond*,Strength-Forged*,Artifice Armor*,,,,
Iron Forerunner Bond,1045743955,"""6917529455020599699""",,Legendary,Warlock Bond,ironbanner,Warlock,1600,,10,Warlock(1758),true,false,4,15,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,,"PvP Eye of Another World - , PvP Stag - , PvP Transversives, PvP Astrocyte - , PvP Ophidian Aspects - ",#pvp,Imperial Dress*,Upgrade Armor*,Iron Pledge Ornament*,Iron Lord's Pride*,,,,,,,,,
TM-Moss Custom Bond,2341879253,"""6917529856240770916""",,Legendary,Warlock Bond,dungeon,Warlock,1600,,10,Warlock(1758),true,false,5,19,,2,15,2,2,2,2,25,0,0,0,0,0,0,0,0,0,artifice,,#pve #arc,Resilience Mod*,Bomber*,Proximity Ward*,Time Dilation*,Upgrade Armor*,Resilience-Forged*,Artifice Armor*,,,,,,
Corrupting Echo Bond,4217390949,"""6917529560849472567""",,Legendary,Warlock Bond,30th,Warlock,1771,,10,Warlock(1758),true,false,4,15,,2,5,7,2,2,2,20,0,0,0,0,0,0,0,0,0,,"Stag PvE - , Stormdancers - , Secant Filaments - ,  - Dawn Chorus - ,  - Crown of Tempest - , Void",#pve #void,Minor Recovery Mod*,Proximity Ward*,Empowered Finish*,Time Dilation*,Photo Finish*,Upgrade Armor*,Virtuous Bond*,Resilience-Forged*,Artifice Armor*,,,,
Eidolon Pursuant Veil,217647949,"""6917529780968019623""",,Legendary,Helmet,haunted,Warlock,1600,,10,Warlock(1758),true,true,5,17,,4,26,8,9,25,9,81,37,2,24,6,7,23,2,64,37,,"Threadlings - , Strand","#pve, high resilience + high intellect",Minor Strength Mod*,Arc Siphon*,Font of Wisdom*,Special Ammo Finder*,Photo Finish*,Upgrade Armor*,*,*,*,*,Facade of the Hezen Lords*,Visage of the Reaper*,
Gloves of the Hezen Lords,3253292022,"""6917529459095091264""",,Legendary,Gauntlets,vaultofglass,Warlock,1784,,10,Warlock(1758),true,true,4,14,,4,14,32,21,12,4,87,51,2,12,20,19,10,2,65,51,vaultofglass,"Felwinter's Helm - , Threadlings - , Stag PvE - , Stormdancers - , Secant Filaments - , Starfire Protocol - ,  - Crown of Tempest - , Stag Master KF, Stag PvE - , Phoenix Protocol - , Void, Raid, Strand, Solar","#pve, high recovery + high discipline",Recovery Mod*,Focusing Strike*,Impact Induction*,Heavy Handed*,Gambit Jadestone*,Upgrade Armor*,*,*,*,*,Painted Kitsune Gloves*,,
Warmind's Avatar Robes,2710316218,"""6917529857138292703""",,Legendary,Chest Armor,rasputin,Warlock,1770,,10,Warlock(1758),true,true,5,19,,4,26,14,23,11,4,82,52,2,24,7,21,9,2,65,52,,"Threadlings - , Strand","#pve, high resilience + high discipline",Minor Recovery Mod*,Solar Resistance*,Concussive Dampener*,Charged Up*,Gambit Jadestone*,Upgrade Armor*,*,*,*,*,Painted Kitsune Robes*,Seraph Sensor Array*,
Swarmers,2463947681,"""6917529869666137621""",,Exotic,Leg Armor,lostsectors,Warlock,1775,,9,Warlock(1758),true,true,6,20,,6,10,16,16,10,12,70,37,6,10,16,11,10,12,65,37,,"Threadlings - , Strand",#strand,Minor Discipline Mod*,Kinetic Weapon Surge*,Recuperation*,Stacks on Stacks*,Gambit Jadestone*,Upgrade Armor*,*,*,*,*,Swarmers*,,
Deep Explorer Bond,2694773307,"""6917529793208892078""",,Legendary,Warlock Bond,duality,Warlock,1770,,10,Warlock(1758),true,true,5,17,,2,15,2,2,2,2,25,0,0,0,0,0,0,0,0,0,artifice,"Felwinter's Helm - , Threadlings - , Strand",#pve #strand,Resilience Mod*,Proximity Ward*,Empowered Finish*,Healthy Finisher*,Malachite Gold*,Upgrade Armor*,Celestine Bond*,Resilience-Forged*,Artifice Armor*,,,,
Wild Hunt Helm,3887272785,"""6917529800391443629""",,Legendary,Helmet,seasonpass,Titan,1600,,10,Titan(1761),true,false,4,12,,4,24,12,23,4,22,89,53,2,22,10,21,2,10,67,53,,"Synthoceps - , Hoarfrost - , Armamentarium - , Aeons, Solar",high total,Strength Mod*,Harmonic Siphon*,Hands-On*,Special Ammo Finder*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Omega Mechanos Helm*,,
Deep Explorer Helmet,2610749098,"""6917529834104104790""",,Legendary,Helmet,duality,Titan,1776,,10,Titan(1761),true,false,5,17,,4,28,16,27,4,8,87,55,2,16,14,25,2,6,65,55,,"HoIL Void - , HoIL Arc - , PvE","high total, replace id:6917529753120372306",Resilience Mod*,Ashes to Assets*,Harmonic Siphon*,Kinetic Siphon*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Solstice Helm (Majestic)*,,
Eternal Warrior,2808156426,"""6917529872087519243""",infuse,Exotic,Helmet,,Titan,1779,,2,Titan(1761),false,false,1,3,,6,14,11,9,16,7,63,34,6,14,11,9,16,7,63,34,,,,Upgrade Armor*,*,*,*,*,Resolute*,,,,,,,
Precious Scars,3974038291,"""6917529804911882737""",,Exotic,Helmet,lostsectors,Titan,1600,,10,Titan(1761),true,false,4,12,,4,18,15,18,10,8,73,45,2,16,13,16,8,6,61,45,,,"this could be amazing in #pvp with revives, but there are better #pve exotics since you dont normally need an overshield",New Age Black Armory*,Upgrade Armor*,*,*,*,*,Kintsugi*,,,,,,
Loreley Splendor Helm,3316517958,"""6917529684805969011""",,Exotic,Helmet,lostsectors,Titan,1771,,10,Titan(1761),true,false,5,16,,4,15,16,22,8,18,83,47,2,13,14,20,6,6,61,47,,"Loreley Splendor - , Solar","#solar, #pvp, #endgame/#casual #pve. double restoration / restoration on demand is insane",Strength Mod*,Harmonic Siphon*,Hands-On*,Special Ammo Finder*,Carminica*,Upgrade Armor*,*,*,*,*,Cauterizing Flame*,,
Tusked Allegiance Gauntlets,187431790,"""6917529855030479264""",,Legendary,Gauntlets,psiops,Titan,1600,,10,Titan(1761),true,false,5,16,,4,28,18,23,11,4,88,53,2,26,6,21,9,2,66,53,,"Loreley Splendor - , Solar",high resilience + high discipline,Recovery Mod*,Firepower*,Focusing Strike*,Heavy Handed*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Radiant Breaker Gauntlets*,,
Doom Fang Pauldron,241462141,"""6917529263457654203""",,Exotic,Gauntlets,,Titan,1600,,10,Titan(1761),true,false,1,1,,4,18,18,18,8,14,80,48,2,16,16,16,6,12,68,48,,Doomfangs - ,"#void, #casual #pve, high total",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Horns of Doom*,,,,,,
Phobos Warden Gauntlets,1465405235,"""6917529352350378919""",,Legendary,Gauntlets,strikes,Titan,1754,,10,Titan(1761),true,false,4,14,,4,19,26,20,4,14,87,49,2,7,24,18,2,12,65,49,,"Hoarfrost - , HoIL Void - ,  - PvP One Eyed Mask, HoIL Arc - , PvE, Solar","#pvp, high recovery + high discipline",Resilience Mod*,Bolstering Detonation*,Firepower*,Momentum Transfer*,Crucible Carmine*,Upgrade Armor*,*,*,*,*,Ringwalker Gauntlets*,,
Synthoceps,241462142,"""6917529797932832543""",,Exotic,Gauntlets,,Titan,1600,,9,Titan(1761),true,false,1,1,,9,17,7,17,13,7,70,41,9,17,7,17,13,2,65,41,,Synthoceps - ,"#neutral #pve, #pvp",Minor Strength Mod*,Impact Induction*,Focusing Strike*,Heavy Handed*,Crucible Redjack*,Upgrade Armor*,*,*,*,*,~flex enhance replicate~*,Biotic Enhancements*,
Aeon Safe,1654461647,"""6917529797307453385""",,Exotic,Gauntlets,,Titan,1600,,10,Titan(1761),true,false,1,2,,5,22,13,10,22,4,76,39,3,20,11,8,20,2,64,39,,Aeons,"#neutral, #endgame #pve, high resilience + high intellect",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Sect of Insight*,,,,,,
Synthoceps,241462142,"""6917529872105281804""",,Exotic,Gauntlets,,Titan,1776,,1,Titan(1761),true,false,1,1,,2,17,14,17,2,10,62,48,2,17,14,17,2,10,62,48,,,"#neutral #pve, #pvp",Upgrade Armor*,*,*,*,*,Biotic Enhancements*,,,,,,,
Deep Explorer Plate,2935559305,"""6917529839987828041""",favorite,Legendary,Chest Armor,duality,Titan,1600,,10,Titan(1761),true,false,5,17,,4,23,15,31,4,9,86,60,2,21,10,29,2,2,66,60,artifice,"Loreley Splendor - , Solar",high resilience + high discipline,Minor Strength Mod*,Charged Up*,Concussive Dampener*,Melee Damage Resistance*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Radiant Breaker Plate*,Recovery-Forged*,Artifice Armor*
Deep Explorer Plate,2935559305,"""6917529804421399855""",,Legendary,Chest Armor,duality,Titan,1600,,10,Titan(1761),true,false,5,17,,4,35,4,26,8,4,81,56,2,30,2,24,6,2,66,56,artifice,"Synthoceps - ,  - Helm of Saint XIV - ",high resilience + high discipline,Concussive Dampener*,Melee Damage Resistance*,Melee Damage Resistance*,Bloody Tooth*,Upgrade Armor*,*,*,*,*,Devastation Complex*,Resilience-Forged*,Artifice Armor*,
Armamentarium,3874247549,"""6917529803491184724""",,Exotic,Chest Armor,,Titan,1600,,10,Titan(1761),true,false,1,3,,15,6,21,31,4,4,81,52,13,4,19,29,2,2,69,52,,Armamentarium - ,"#strand, #arc, high discipline",Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Shock Grenadier*,And Another Thing*,,,,,
Hoarfrost-Z,1322544481,"""6917529804794834135""",,Exotic,Chest Armor,lostsectors,Titan,1600,,9,Titan(1761),true,false,5,16,,2,20,12,7,15,16,72,34,2,20,12,2,15,16,67,34,,"Hoarfrost - , Solar","#pvp, #casual #pve",Minor Discipline Mod*,Stasis Resistance*,Charged Up*,Concussive Dampener*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Glacial Fortification*,,
Heart of Inmost Light,1341951177,"""6917529804728478493""",,Exotic,Chest Armor,,Titan,1770,,10,Titan(1761),true,false,2,4,,6,16,19,19,9,14,83,48,4,14,17,17,7,7,66,48,,"HoIL Void - , HoIL Arc - ,  - Heart of Inmost Light Solar - , PvE",replace masterworked version,Minor Strength Mod*,Charged Up*,Concussive Dampener*,Melee Damage Resistance*,Photo Finish*,Upgrade Armor*,*,*,*,*,"Abyss, Inverted*",Overflowing Light*,
Cuirass of the Falling Star,2321120637,"""6917529370105498321""",,Exotic,Chest Armor,lostsectors,Titan,1600,,10,Titan(1761),true,false,4,13,,4,11,22,15,12,8,72,42,2,9,20,13,10,6,60,42,,Falling Star - ,"#arc, #endgame/#raid #pve",Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Comets Stir in Dream*,Glorious Charge*,,,,,
Candescent Greaves,2644573111,"""6917529801054413485""",,Legendary,Leg Armor,events,Titan,1764,,10,Titan(1761),true,false,5,17,Solstice,4,22,24,16,4,18,88,46,2,20,12,14,2,16,66,46,,"Synthoceps - , Loreley Splendor - , Solar",high total,Recovery Mod*,Recuperation*,Solar Weapon Surge*,Stacks on Stacks*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Solstice Greaves (Majestic)*,,
Lion Rampant,3539357318,"""6917529205163054912""",,Exotic,Leg Armor,,Titan,1600,,6,Titan(1761),true,false,1,1,,2,11,18,16,14,2,63,45,2,11,18,16,14,2,63,45,,,"#neutral, #pvp",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Jump Jets*,,,,,,
Tusked Allegiance Greaves,2270509928,"""6917529798195741328""",,Legendary,Leg Armor,psiops,Titan,1774,,10,Titan(1761),true,false,5,16,,4,25,15,22,12,4,82,51,2,23,8,20,10,2,65,51,,"HoIL Void - , HoIL Arc - , PvE",high resilience + high discipline,Minor Recovery Mod*,Recuperation*,Arc Weapon Surge*,Stacks on Stacks*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Thunderous Impact Greaves*,,
Phoenix Cradle,1537074069,"""6917529797914283970""",,Exotic,Leg Armor,campaign,Titan,1600,,9,Titan(1761),true,false,3,8,,2,12,18,2,16,15,65,32,2,12,18,2,16,15,65,32,, - Phoenix Cradle - ,"#solar, #casual #pve",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,execute(Revival)*,Beacons of Empowerment*,,,,,
The Path of Burning Steps,1453120846,"""6917529352981474639""",,Exotic,Leg Armor,lostsectors,Titan,1600,,10,Titan(1761),true,false,4,14,,4,11,23,9,18,9,74,37,2,9,21,7,16,7,62,37,, - Burning Steps PvE - ,"#neutral #solar, #pvp, #casual #pve, high recovery + high intellect",Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Firewalker*,,,,,,
Resonant Fury Mark,2370089583,"""6917529690086420049""",,Legendary,Titan Mark,votd,Titan,1600,,10,Titan(1761),true,false,5,16,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,vowofthedisciple,Aeons,#raid,Carminica*,Upgrade Armor*,,,,,,,,,,,
Light of the Great Prism,3012927512,"""6917529366607507794""",,Legendary,Titan Mark,vaultofglass,Titan,1600,,10,Titan(1761),true,false,4,14,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,vaultofglass,,"#raid, #pvp",Crucible Alizarin*,Upgrade Armor*,,,,,,,,,,,
Eidolon Pursuant Mark,3004041686,"""6917529765678867734""",,Legendary,Titan Mark,haunted,Titan,1600,,10,Titan(1761),true,false,5,17,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,, - Phoenix Cradle - ,#pve,Skele-Ghaul*,Upgrade Armor*,Dreambane Mark*,Visage of the Reaper*,,,,,,,,,
Candescent Mark,2710628962,"""6917529799377048422""",,Legendary,Titan Mark,events,Titan,1600,,10,Titan(1761),true,false,5,17,Solstice,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,,"Crest of Alpha Lupi Arc - , Doomfangs - ",#pvp,Skele-Ghaul*,Upgrade Armor*,Phenotype Plasticity Mark*,,,,,,,,,,
Iron Forerunner Mark,3591512190,"""6917529670872610746""",,Legendary,Titan Mark,ironbanner,Titan,1600,,10,Titan(1761),true,false,4,15,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,,,#pvp,Carminica*,Upgrade Armor*,Ringwalker Mark*,Iron Lord's Pride*,,,,,,,,,
Solstice Mark (Magnificent),3972410231,"""6917529200977102149""",,Legendary,Titan Mark,events,Titan,1600,,9,Titan(1761),true,false,3,11,Solstice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,solstice,Honors of the Nine*,Upgrade Armor*,Iron Pledge Ornament*,,,,,,,,,,
Deep Explorer Helmet,3270955774,"""6917529829303273782""",,Legendary,Helmet,duality,Titan,1751,,10,Titan(1761),true,true,5,17,,4,17,22,32,12,4,91,52,2,12,20,20,10,2,66,52,artifice,"Severance Enclosure - , Falling Star - , Strike",high total,Discipline Mod*,Ashes to Assets*,Harmonic Siphon*,Special Ammo Finder*,Metro Shift*,Upgrade Armor*,*,*,*,*,Iron Pledge Ornament*,Resilience-Forged*,Artifice Armor*
