Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
Candescent Gloves,516735972,"""6917529804896022987""",,Legendary,Gauntlets,events,Warlock,1350,,Arc Energy Capacity,3,Warlock(1586),true,true,false,5,17,Solstice,2,22,20,14,10,6,74,0,2,12,20,14,10,6,64,0,combatstyle,,Resilience Mod*,Upgrade Armor*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,
Deep Explorer Gloves,3260781446,"""6917529804447499963""",,Legendary,Gauntlets,duality,Warlock,1570,,Void Energy Capacity,10,Warlock(1586),true,true,false,5,17,,4,22,14,4,28,8,80,0,2,20,12,2,26,6,68,0,combatstyle,,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,,,
Deep Explorer Gloves,1468388696,"""6917529773347843431""",,Legendary,Gauntlets,duality,Warlock,1570,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,,4,26,9,17,14,4,74,0,2,24,7,15,12,2,62,0,combatstyle,,Anti-Barrier Pulse Rifle*,Unstoppable Scout Rifle*,Powerful Friends*,Irradiant Charoite*,Upgrade Armor*,*,*,*,*,,,,,,
Deep Explorer Gloves,3260781446,"""6917529804426238053""",,Legendary,Gauntlets,duality,Warlock,1570,,Stasis Cost,10,Warlock(1586),true,true,false,5,17,,10,35,4,10,4,25,88,0,8,23,2,8,2,23,66,0,combatstyle,,Resilience Mod*,Unstoppable Scout Rifle*,Change Energy Type*,*,*,*,*,Artifice Armor*,,,,,,,
Deep Explorer Gloves,1468388696,"""6917529805565049684""",,Legendary,Gauntlets,duality,Warlock,1560,,Solar Energy Capacity,10,Warlock(1586),true,true,false,5,17,,4,12,24,12,8,18,78,0,2,10,22,10,6,16,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,,,,,
Wraps of the Fulminator,3530284424,"""6917529203596768910""",,Legendary,Gauntlets,dcv,Warlock,1570,,Arc Energy Capacity,10,Warlock(1586),true,true,false,3,11,,9,4,33,12,16,10,84,0,7,2,21,10,14,8,62,0,combatstyle,,Recovery Mod*,Deprecated Armor Mod*,Deprecated Armor Mod*,Trinity*,Upgrade Armor*,*,*,*,*,,,,,,
Candescent Gloves,516735972,"""6917529799176313252""",,Legendary,Gauntlets,events,Warlock,1570,,Stasis Cost,10,Warlock(1586),true,true,false,5,17,Solstice,4,22,24,15,19,4,88,0,2,20,12,13,17,2,66,0,combatstyle,,Recovery Mod*,Unstoppable Scout Rifle*,Elemental Time Dilation*,Redjacked*,Upgrade Armor*,*,*,*,*,Spark of Resilience*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*,
Candescent Gloves,516735972,"""6917529799692446424""",,Legendary,Gauntlets,events,Warlock,1350,,Stasis Cost,10,Warlock(1586),true,true,false,5,17,Solstice,4,14,32,12,17,8,87,0,2,12,20,10,15,6,65,0,combatstyle,,Recovery Mod*,Grenade Kickstart*,Unstoppable Scout Rifle*,Iris Gossamer*,Change Energy Type*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,
Resonant Fury Robes,3300312357,"""6917529761013643980""",,Legendary,Chest Armor,vow,Warlock,1564,,Solar Energy Capacity,3,Warlock(1586),true,true,false,5,16,,10,19,2,23,17,2,73,0,10,19,2,13,17,2,63,0,"combatstyle,vowofthedisciple",,Discipline Mod*,Upgrade Armor*,*,*,*,*,,,,,,,,,
Cuirass of the Hezen Lords,3029386938,"""6917529363340767732""",,Legendary,Chest Armor,vog,Warlock,1567,,Arc Energy Capacity,10,Warlock(1586),true,true,false,4,14,,16,4,23,4,24,12,83,0,14,2,16,2,22,10,66,0,"combatstyle,vaultofglass",,Minor Recovery Mod*,Grenade Launcher Reserves*,Unflinching Submachine Gun Aim*,Well of Striking*,Gambit Jadestone*,Upgrade Armor*,*,*,*,*,Iron Forerunner Vestments*,Anti-Praetorian*,,,
Candescent Robes,2566083804,"""6917529804325405617""",,Legendary,Chest Armor,events,Warlock,1350,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,Solstice,4,14,22,15,11,12,78,0,2,12,20,13,9,10,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,,
Pyrrhic Ascent Vestment,2304861612,"""6917529271595711122""",,Legendary,Chest Armor,trials,Warlock,1570,,Void Energy Capacity,10,Warlock(1586),true,true,false,4,13,,15,16,4,33,4,12,84,0,13,14,2,21,2,10,62,0,combatstyle,,Discipline Mod*,Armor of the Dying Star*,Armor of the Dying Star*,Reaping Wellmaker*,Photo Finish*,Upgrade Armor*,*,*,*,*,,,,,
Candescent Robes,2566083804,"""6917529799176313253""",,Legendary,Chest Armor,events,Warlock,1570,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,Solstice,4,32,14,12,12,14,88,0,2,20,12,10,10,12,66,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Arc Resistance*,Seeking Wells*,Upgrade Armor*,*,*,*,*,Spark of Resilience*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*,
Candescent Robes,2566083804,"""6917529800083797476""",,Legendary,Chest Armor,events,Warlock,1350,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,Solstice,4,14,32,8,14,15,87,0,2,12,20,6,12,13,65,0,combatstyle,,Recovery Mod*,Powerful Friends*,Iris Gossamer*,Upgrade Armor*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,
Eidolon Pursuant Robe,1972851364,"""6917529794284177446""",,Legendary,Chest Armor,haunted,Warlock,1560,,Solar Energy Capacity,10,Warlock(1586),true,true,false,5,17,,4,28,9,10,4,21,76,0,2,16,7,8,2,19,54,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Armor of the Dying Star*,Graceful Phantom*,Upgrade Armor*,*,*,*,*,Streetscholar Robes*,Visage of the Reaper*,,,,
Wild Hunt Vestment,317220729,"""6917529411734901002""",,Legendary,Chest Armor,seasonpass,Warlock,1570,,Arc Energy Capacity,10,Warlock(1586),true,true,false,4,12,,4,14,30,4,27,4,83,0,2,2,28,2,25,2,61,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Armor of the Dying Star*,Radiant Light*,Gambit Nephrite*,Upgrade Armor*,*,*,*,*,,Contender Robes*,,,
Channeling Robes (CODA),1652467433,"""6917529351203750817""",,Legendary,Chest Armor,dungeon,Warlock,1560,,Arc Energy Capacity,10,Warlock(1586),true,true,false,3,11,,14,11,14,4,23,9,75,0,12,9,12,2,21,7,63,0,combatstyle,,Radiant Light*,Trinity*,Upgrade Armor*,*,*,*,*,Contender Robes*,,,,,,,
Candescent Boots,2022821262,"""6917529800243590164""",,Legendary,Leg Armor,events,Warlock,1350,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,Solstice,4,22,14,19,4,15,78,0,2,20,12,17,2,13,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,,
Tusked Allegiance Boots,693728753,"""6917529760024345029""",,Legendary,Leg Armor,psiops,Warlock,1570,,Void Energy Capacity,10,Warlock(1586),true,true,false,5,16,,4,28,8,33,11,4,88,0,2,26,6,21,9,2,66,0,combatstyle,,Discipline Mod*,Font of Might*,Argent Teratorn*,Upgrade Armor*,*,*,*,*,Uniformed Officer*,,,,,,
Moonfang-X7 Boots,1781294872,"""6917529479883051927""",,Legendary,Leg Armor,dungeon,Warlock,1570,,Stasis Cost,10,Warlock(1586),true,true,false,3,11,,17,14,16,4,22,10,83,0,15,2,14,2,20,8,61,0,combatstyle,,Resilience Mod*,Rocket Launcher Scavenger*,Technofusion*,Upgrade Armor*,*,*,*,*,Legatus Boots*,,,,,,
Reverie Dawn Boots,569434520,"""6917529760205388767""",,Legendary,Leg Armor,dreaming,Warlock,1563,,Stasis Cost,2,Warlock(1586),true,true,false,4,13,,9,20,2,10,16,6,63,0,9,20,2,10,16,6,63,0,combatstyle,,Riven's Curse*,Auto Rifle Holster*,Upgrade Armor*,*,*,*,*,,,,,,,,
Deep Explorer Boots,2819810688,"""6917529804447499313""",,Legendary,Leg Armor,duality,Warlock,1560,,Void Energy Capacity,1,Warlock(1586),true,true,false,5,17,,2,23,8,7,23,2,65,0,2,23,8,7,23,2,65,0,combatstyle,,Change Energy Type*,*,*,*,*,Artifice Armor*,,,,,,,,,
Deep Explorer Boots,2819810688,"""6917529804441134394""",,Legendary,Leg Armor,duality,Warlock,1560,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,,4,28,8,18,4,18,80,0,2,26,6,16,2,16,68,0,combatstyle,,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,,,
Candescent Boots,2022821262,"""6917529799176313255""",,Legendary,Leg Armor,events,Warlock,1570,,Void Energy Capacity,10,Warlock(1586),true,true,false,5,17,Solstice,4,14,32,4,25,9,88,0,2,12,20,2,23,7,66,0,combatstyle,,Recovery Mod*,Rocket Launcher Scavenger*,Better Already*,Upgrade Armor*,*,*,*,*,Spark of Recovery*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*,,
Lightkin Boots,1248864692,"""6917529351007749920""",,Legendary,Leg Armor,servitor,Warlock,1565,,Void Energy Capacity,10,Warlock(1586),true,true,false,4,14,,12,4,19,4,35,4,78,0,10,2,17,2,23,2,56,0,combatstyle,,Intellect Mod*,Rocket Launcher Scavenger*,Gambit Jadestone*,Upgrade Armor*,*,*,*,*,Iron Forerunner Boots*,,,,,,
Iron Forerunner Boots,2247299560,"""6917529776678893616""",,Legendary,Leg Armor,ironbanner,Warlock,1570,,Solar Energy Capacity,10,Warlock(1586),true,true,false,4,15,,4,25,10,19,12,16,86,0,2,23,8,7,10,14,64,0,combatstyle,,Discipline Mod*,Linear Fusion Rifle Scavenger*,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,,,
Notorious Collector Cloak,3585883634,"""6917529092037298488""",,Legendary,Hunter Cloak,gambitprime,Hunter,1350,1060,Solar Damage Resistance,5,Warlock(1586),false,true,false,2,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Masterwork*,Better Already*,Heavy Ammo Finder*,,,,,,,,,,,,
Eidolon Pursuant Bond,2716681465,"""6917529759490199249""",,Legendary,Warlock Bond,haunted,Warlock,1570,,Stasis Cost,10,Warlock(1586),true,true,false,5,17,,2,2,2,12,2,2,22,0,0,0,0,0,0,0,0,0,combatstyle,,Discipline Mod*,Utility Kickstart*,Classy Restoration*,Graceful Phantom*,Upgrade Armor*,Visage of the Reaper*,,,,,,,,,
Ego Talon Bond,4285708584,"""6917529049054736163""",,Legendary,Warlock Bond,ikora,Warlock,1350,1060,,,Warlock(1586),false,true,false,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Masterwork Upgrade*,,,,,,,,,,,,,,
Corrupting Echo Bond,4217390949,"""6917529546749591549""",,Legendary,Warlock Bond,30th,Warlock,1570,,Stasis Cost,10,Warlock(1586),true,true,false,4,15,,2,12,2,2,2,2,22,0,0,0,0,0,0,0,0,0,combatstyle,,Resilience Mod*,Utility Kickstart*,Argent Teratorn*,Upgrade Armor*,Classy Restoration*,Artifice Armor*,,,,,,,,,
Temptation's Bond,1141217085,"""6917529437010082760""",,Legendary,Warlock Bond,garden,Warlock,1570,,Arc Energy Capacity,10,Warlock(1586),true,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,"combatstyle,gardenofsalvation",,Outreach*,Deprecated Armor Mod*,Lucent Blade*,Bray Innovation*,Change Energy Type*,,,,,,,,,,
Wing Theorem,327530279,"""6917529088871170929""",,Legendary,Warlock Bond,crucible,Warlock,1350,1060,Solar Damage Resistance,1,Warlock(1586),false,true,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Mobility Mod*,Tier 1 Armor*,New Monarchy Succession*,Insulation*,Better Already,Fusion Rifle Scavenger*,Rocket Launcher Scavenger,,,,,,,,
Notorious Invader Cloak,1886580964,"""6917529091522865776""",,Legendary,Hunter Cloak,gambitprime,Hunter,1350,1060,Arc Damage Resistance,5,Warlock(1586),false,true,false,2,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Masterwork*,Shrouded Stripes*,Insulation*,Sniper Rifle Reserves*,,,,,,,,,,,
Opulent Scholar Bond,1250649843,"""6917529095522456947""",,Legendary,Warlock Bond,,Warlock,1350,1060,Void Damage Resistance,3,Warlock(1586),false,true,false,2,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tier 3 Armor*,Shadow Gilt*,Invigoration*,Scout Rifle Scavenger*,Empty Activity Mod Socket*,,,,,,,,,,
Phoenix's Fire,3628145148,"""6917529334979063809""",,Legendary,Warlock Bond,events,Warlock,1560,,Solar Energy Capacity,10,Warlock(1586),true,true,false,4,13,Guardian Games,2,2,12,2,2,2,22,0,0,0,0,0,0,0,0,0,combatstyle,,Recovery Mod*,Bomber*,Bomber*,Amrita's Dream*,Change Energy Type*,Cunning of the Contender Bond*,Friendly Competition*,,,,,,,,
Deep Explorer Hood,630469185,"""6917529806010065754""",,Legendary,Helmet,duality,Warlock,1560,,Solar Energy Capacity,1,Warlock(1586),true,false,false,5,17,,15,13,2,10,10,11,61,0,15,13,2,10,10,11,61,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,,,,,
Stagnatious Rebuke,1988790493,"""6917529806153011325""",,Rare,Warlock Bond,campaign,Warlock,1560,,Arc Energy Capacity,5,Warlock(1586),true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,,,,,
Inspector's Boots,3004363890,"""6917529806306959484""",,Rare,Leg Armor,campaign,Warlock,1560,,Solar Energy Capacity,5,Warlock(1586),true,false,false,5,16,,2,10,10,16,6,2,46,0,2,10,10,16,6,2,46,0,,,Upgrade Armor*,*,*,*,*,,,,,,,,,,
Candescent Hood,1840892693,"""6917529799176313256""",favorite,Legendary,Helmet,events,Warlock,1570,,Arc Energy Capacity,10,Warlock(1586),true,true,true,5,17,Solstice,4,14,22,33,4,11,88,0,2,12,20,21,2,9,66,0,combatstyle,,Discipline Mod*,Linear Fusion Rifle Ammo Finder*,Elemental Ordnance*,Argent Teratorn*,Upgrade Armor*,*,*,*,*,Resonant Fury Cowl*,Spark of Recovery*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*
Resonant Fury Gloves,1656263403,"""6917529666377686972""",,Legendary,Gauntlets,vow,Warlock,1560,,Stasis Cost,10,Warlock(1586),true,true,true,5,16,,8,8,22,29,4,11,82,0,6,6,20,22,2,9,65,0,"combatstyle,vowofthedisciple",,Minor Discipline Mod*,Grenade Kickstart*,Grenade Kickstart*,New Monarchy Succession*,Upgrade Armor*,*,*,*,*,Dawn Singer Gloves*,,,,,
Starfire Protocol,2082483156,"""6917529690098722296""",,Exotic,Chest Armor,,Warlock,1570,,Void Energy Capacity,10,Warlock(1586),true,true,true,1,1,,4,14,33,17,8,10,86,0,2,12,21,15,6,8,64,0,combatstyle,,Recovery Mod*,Armor of the Dying Star*,Armor of the Dying Star*,Enduring Wells*,Redjacked*,Upgrade Armor*,*,*,*,*,Fusion Harness*,,,,
Tusked Allegiance Boots,693728753,"""6917529760024347762""",,Legendary,Leg Armor,psiops,Warlock,1557,,Void Energy Capacity,10,Warlock(1586),true,true,true,5,16,,4,22,21,29,4,4,84,0,2,20,9,27,2,2,62,0,combatstyle,,Recovery Mod*,Machine Gun Scavenger*,New Monarchy Succession*,Upgrade Armor*,*,*,*,*,Dawn Singer Boots*,Uniformed Officer*,,,,,
Candescent Bond,3851917393,"""6917529799176313254""",,Legendary,Warlock Bond,events,Warlock,1570,,Stasis Cost,10,Warlock(1586),true,true,true,5,17,Solstice,2,2,12,2,2,2,22,0,0,0,0,0,0,0,0,0,combatstyle,,Recovery Mod*,Utility Kickstart*,Utility Kickstart*,Iris Gossamer*,Change Energy Type*,,,,,,,,,,
Candescent Helm,3967067356,"""6917529801033672207""",favorite,Legendary,Helmet,events,Titan,1350,,Solar Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,14,22,11,22,4,77,0,2,12,20,9,20,2,65,0,combatstyle,,Carminica*,Upgrade Armor*,*,*,*,*,Descending Echo Helm*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,
Helm of Saint-14,106575079,"""6917529804740998043""",,Exotic,Helmet,,Titan,1570,,Arc Energy Capacity,9,Titan(1590),true,true,false,1,2,,2,15,14,6,13,11,61,0,2,15,14,6,13,11,61,0,combatstyle,,Upgrade Armor*,*,*,*,*,Starless Night*,,,,,,,,,
Candescent Helm,3967067356,"""6917529801043425790""",favorite,Legendary,Helmet,events,Titan,1570,,Solar Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,22,14,31,4,4,79,0,2,20,12,29,2,2,67,0,combatstyle,,Rocket Launcher Ammo Finder*,Rocket Launcher Ammo Finder*,Vanguard Marshal*,Upgrade Armor*,*,*,*,*,Valkyrian Helm*,Spark of Resilience*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*,
Veritas Helm,2126560579,"""6917529640799163294""",,Legendary,Helmet,throneworld,Titan,1550,,Arc Energy Capacity,9,Titan(1590),true,true,false,5,16,,12,6,16,24,2,7,67,0,12,6,16,24,2,7,67,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,,,,,
Candescent Helm,3967067356,"""6917529803983045809""",,Legendary,Helmet,events,Titan,1350,,Solar Energy Capacity,10,Titan(1590),true,false,false,5,17,Solstice,4,14,22,8,14,14,76,0,2,12,20,6,12,12,64,0,combatstyle,,Upgrade Armor*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,,
Khepri's Horn,2384488862,"""6917529801334865587""",,Exotic,Helmet,,Titan,1570,,Arc Energy Capacity,9,Titan(1590),true,false,false,1,2,,8,19,7,9,16,7,66,0,8,19,7,9,16,7,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Solar Rampart*,,,,,,,,,
Resonant Fury Helm,362541459,"""6917529729786548374""",,Legendary,Helmet,vow,Titan,1570,,Solar Energy Capacity,9,Titan(1590),true,true,false,5,16,,2,23,16,2,23,7,73,0,2,13,16,2,23,7,63,0,"combatstyle,vowofthedisciple",,Resilience Mod*,Linear Fusion Rifle Ammo Finder*,Upgrade Armor*,*,*,*,*,,,,,,,,
Kabr's Battlecage,4029224226,"""6917529428638906705""",,Legendary,Helmet,vog,Titan,1570,,Void Energy Capacity,10,Titan(1590),true,true,false,4,14,,4,21,21,11,24,4,85,0,2,9,19,9,22,2,63,0,"combatstyle,vaultofglass",,Resilience Mod*,Linear Fusion Rifle Ammo Finder*,Linear Fusion Rifle Ammo Finder*,Amrita's Dream*,Upgrade Armor*,*,*,*,*,Helm of the Emperor's Champion*,,,,,
Deep Explorer Helmet,3270955774,"""6917529804351098997""",,Legendary,Helmet,duality,Titan,1570,,Stasis Cost,10,Titan(1590),true,true,false,5,17,,4,25,10,14,4,18,75,0,2,23,8,12,2,16,63,0,combatstyle,,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,,,
Candescent Gauntlets,1068450901,"""6917529799899615327""",,Legendary,Gauntlets,events,Titan,1350,,Solar Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,32,14,18,4,16,88,0,2,20,12,16,2,14,66,0,combatstyle,,Resilience Mod*,Vanguard Marshal*,Upgrade Armor*,*,*,*,*,Forged Machinist Gauntlets*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,
Descending Echo Gauntlets,2771648715,"""6917529732394070044""",,Legendary,Gauntlets,30th,Titan,1560,,Void Energy Capacity,9,Titan(1590),true,true,false,4,15,,2,9,20,6,15,10,62,0,2,9,20,6,15,10,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,,,
Prodigal Gauntlets,1429424420,"""6917529100328602492""",,Legendary,Gauntlets,legendaryengram,Titan,1350,1060,Arc Damage Resistance,1,Titan(1590),false,true,false,2,4,,0,30,0,5,10,5,50,0,0,20,0,5,10,5,40,0,,,Heavy Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Super Mod*,Tier 1 Armor*,Fastball,Impact Induction*,Grenade Launcher Scavenger*,Shotgun Scavenger,,,,,,
Solstice Gauntlets (Majestic),2291082292,"""6917529102116402979""",,Legendary,Gauntlets,events,Titan,1350,1060,Void Energy Capacity,5,Titan(1590),true,false,false,2,7,Solstice,10,6,6,12,2,12,48,0,10,6,6,12,2,12,48,0,,,Hand Cannon Loader*,Upgrade Armor*,*,*,*,*,Remove Armor Glow*,,,,,,,,
Kabr's Brazen Grips,3368765451,"""6917529428552976365""",,Legendary,Gauntlets,vog,Titan,1560,,Arc Energy Capacity,10,Titan(1590),true,true,false,4,14,,18,9,12,9,24,4,76,0,16,7,10,7,22,2,64,0,"combatstyle,vaultofglass",,Deprecated Armor Mod*,Deprecated Armor Mod*,Honors of the Nine*,Upgrade Armor*,*,*,*,*,,,,,,,
Candescent Gauntlets,1068450901,"""6917529799548123577""",,Legendary,Gauntlets,events,Titan,1570,,Arc Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,24,22,9,10,18,87,0,2,12,20,7,8,16,65,0,combatstyle,,Resilience Mod*,Unstoppable Scout Rifle*,Scout Rifle Loader*,Melee Wellmaker*,Graceful Phantom*,Change Energy Type*,*,*,*,*,Spark of Recovery*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*
Gauntlets of the Great Hunt,65929376,"""6917529095830688478""",,Legendary,Gauntlets,lastwish,Titan,1350,1060,Solar Damage Resistance,1,Titan(1590),false,true,false,2,4,,10,10,10,5,5,10,50,0,0,10,10,5,5,10,40,0,,,Restorative Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Fastball,Impact Induction*,Rifle Loader,Rocket Launcher Scavenger*,Heavy Ammo Finder,,,,,,
