Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
Gloves of the Hezen Lords,3253292022,"""6917529459095091264""",,Legendary,Gauntlets,vaultofglass,Warlock,1805,,10,Warlock(1816),true,false,4,14,,4,14,22,31,12,4,87,2,12,20,19,10,2,65,vaultofglass,"Secant Filaments - ,  - Stormdancers - , Felwinter's Helm - ,  - Crown of Tempest - , Void","#pve, high recovery + high discipline",Discipline Mod*,Fastball*,Font of Focus*,Firepower*,Carminica*,Upgrade Armor*,*,*,*,*,Wraps of the Emperor's Minister*,,
Corrupting Echo Gloves,2244604734,"""6917529902672456301""",,Legendary,Gauntlets,30th,Warlock,1810,,10,Warlock(1816),true,false,4,15,,4,32,7,35,9,4,91,2,30,2,23,7,2,66,artifice,"Rain of Fire - , Stag PvE - , Starfire Protocol - , Chromatic Fire - , Xenomorph - , Raid, Delta, Dungeon",high resilience + high discipline,Discipline Mod*,Focusing Strike*,Firepower*,Bolstering Detonation*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Solstice Gloves (Majestic)*,Recovery-Forged*,Artifice Armor*
Sunbracers,3787517196,"""6917529263169109662""",,Exotic,Gauntlets,,Warlock,1810,,10,Warlock(1816),true,false,1,1,,17,8,13,23,4,10,75,15,6,11,21,2,8,63,,Sunbracers - ,"#solar, #casual #pve",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Helium Spirals*,,,,,,
Moonfang-X7 Gloves,1361912510,"""6917529279213723780""",,Legendary,Gauntlets,dungeon,Warlock,1810,,10,Warlock(1816),true,false,3,11,,4,11,24,22,20,4,85,2,9,22,10,18,2,63,,"PvP Transversives, PvP Stag - ","#pvp, high recovery + high intellect",Discipline Mod*,Impact Induction*,Fastball*,Kinetic Dexterity*,Coastal Suede*,Upgrade Armor*,*,*,*,*,Iron Fellowship Gloves*,,
Warmind's Avatar Robes,2710316218,"""6917529857138292703""",,Legendary,Chest Armor,rasputin,Warlock,1810,,10,Warlock(1816),true,false,5,19,,4,26,9,23,11,9,82,2,24,7,21,9,2,65,,"Stag PvE - , Dungeon","#pve, high resilience + high discipline",Minor Strength Mod*,Solar Resistance*,Concussive Dampener*,Melee Damage Resistance*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Painted Kitsune Robes*,Seraph Sensor Array*,
Corrupting Echo Robes,2515293448,"""6917529557559532687""",,Legendary,Chest Armor,30th,Warlock,1810,,10,Warlock(1816),true,false,4,15,,4,15,22,23,11,9,84,2,10,20,21,9,2,64,artifice,"Dawn Chorus - , Xenomorph - , Osmiomancy - ,  - Nezarec's Sin - , Stasis","#pve, high recovery + high discipline, replace iron fellowship robes since this doesnt have an artifact slot now",Minor Strength Mod*,Arc Resistance*,Concussive Dampener*,Arc Resistance*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Painted Kitsune Robes*,Resilience-Forged*,Artifice Armor*
Candescent Robes,2566083804,"""6917529799183113763""",,Legendary,Chest Armor,events,Warlock,1810,,10,Warlock(1816),true,false,5,17,Solstice,4,22,14,14,14,11,79,2,20,12,12,12,9,67,,"Rain of Fire - ,  - Aeons - ","#pve, high total",Arc Resistance*,Arc Resistance*,Arc Resistance*,Amethyst Veil*,Upgrade Armor*,*,*,*,*,TM-Moss Custom Duster*,,,
Phoenix Protocol,4057299719,"""6917529179404510960""",,Exotic,Chest Armor,,Warlock,1810,,10,Warlock(1816),true,false,2,4,,10,13,20,18,15,4,80,8,11,13,16,13,2,63,,"Phoenix Protocol - , Solar","#solar, #endgame #pve, resilience is best stat atm, keep other in case something changes",Minor Recovery Mod*,Harmonic Resistance*,Concussive Dampener*,Sniper Damage Resistance*,Vintage Timber*,Upgrade Armor*,*,*,*,*,Phoenixfall*,Battle-Hearth*,
Starfire Protocol,2082483156,"""6917529397762111142""",,Exotic,Chest Armor,,Warlock,1808,,10,Warlock(1816),true,false,1,1,,4,11,24,29,9,8,85,2,9,22,17,7,6,63,,"Starfire Protocol - , Raid","#solar #dps, #endgame #pve with the fragment that lets you heal on grenade kills",Discipline Mod*,Harmonic Resistance*,Concussive Dampener*,Sniper Damage Resistance*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Fusion Harness*,,
Chasm of Yul,3921733799,"""6917529826933100940""",,Legendary,Chest Armor,kf,Warlock,1810,,10,Warlock(1816),true,false,5,18,,4,8,28,24,8,4,76,2,6,26,22,6,2,64,kingsfall,"PvP Eye of Another World - , PvP Ophidian Aspects - ","#raid, #pvp, high recovery + high discipline",Carminica*,Upgrade Armor*,*,*,*,*,Atavistic Idol Vestments*,,,,,,
Veritas Robe,4115572467,"""6917529791163157593""",,Legendary,Chest Armor,throneworld,Warlock,1810,,10,Warlock(1816),true,false,5,16,,4,16,16,22,16,4,78,2,14,14,15,14,2,61,,PvP Stag - ,"#pvp, high total",Minor Discipline Mod*,Unflinching Kinetic Aim*,Unflinching Kinetic Aim*,Metro Shift*,Upgrade Armor*,*,*,*,*,Iron Symmachy Robes*,,,
Eidolon Pursuant Pants,256122438,"""6917529780989550965""",,Legendary,Leg Armor,haunted,Warlock,1810,,10,Warlock(1816),true,false,5,17,,4,25,9,22,4,11,75,2,23,7,20,2,9,63,, - Stormdancers - ,"#pve, high resilience + high discipline",Arc Scavenger*,Arc Scavenger*,Arc Scavenger*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Starfarer's Boots*,Visage of the Reaper*,,
Secant Filaments,511888814,"""6917529793208887676""",,Exotic,Leg Armor,lostsectors,Warlock,1810,,10,Warlock(1816),true,false,5,16,,8,24,13,24,8,8,85,6,22,6,22,6,6,68,,"Secant Filaments - , Void","#neutral #void, #pve, seems viable for #endgame solo content with #overload",Minor Recovery Mod*,Recuperation*,Void Weapon Surge*,Stasis Weapon Surge*,Royal Welcome*,Upgrade Armor*,*,*,*,*,Rayonnant Tracery*,Devouring Rift*,
Rain of Fire,1624882687,"""6917529795817651225""",,Exotic,Leg Armor,lostsectors,Warlock,1810,,10,Warlock(1816),true,false,5,17,,8,21,15,8,14,16,82,6,19,8,6,12,14,65,,"Rain of Fire - , Delta","#solar, #casual #pve, #pvp, could be useful for stunning #barrier champions in #endgame",Minor Recovery Mod*,Recuperation*,Kinetic Weapon Surge*,Solar Weapon Surge*,Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Soaring Fusilier*,,
Eidolon Pursuant Pants,256122438,"""6917529780952683580""",,Legendary,Leg Armor,haunted,Warlock,1810,,10,Warlock(1816),true,false,5,17,,4,25,10,18,15,4,76,2,23,8,16,13,2,64,,,"#pve, high resilience + high total",Carminica*,Upgrade Armor*,*,*,*,*,Solstice Boots (Magnificent)*,Visage of the Reaper*,,,,,
Candescent Boots,2022821262,"""6917529799190926158""",,Legendary,Leg Armor,events,Warlock,1810,,10,Warlock(1816),true,false,5,17,Solstice,4,22,14,22,4,21,87,2,20,12,20,2,9,65,,"Stag PvE - , Starfire Protocol - , Xenomorph - , Osmiomancy - ,  - Crown of Tempest - ,  - Aeons - , Raid, Stasis, Dungeon","#pve, high total",Strength Mod*,Recuperation*,Elemental Charge*,Stasis Weapon Surge*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Virtuous Boots*,,
Tesseract Trace IV,1655109893,"""6917529500852509773""",,Legendary,Leg Armor,legendaryengram,Warlock,1810,,10,Warlock(1816),true,false,3,11,,8,9,26,27,8,4,82,6,7,19,25,6,2,65,,Chromatic Fire - ,"#pve, high recovery + high discipline",Minor Recovery Mod*,Recuperation*,Stasis Weapon Surge*,Void Weapon Surge*,Erebos Glance*,Upgrade Armor*,*,*,*,*,Boots of the Emperor's Minister*,,
Eidolon Pursuant Pants,256122438,"""6917529791126586221""",,Legendary,Leg Armor,haunted,Warlock,1810,,10,Warlock(1816),true,false,5,17,,8,4,28,28,4,11,83,6,2,26,21,2,9,66,,PvP Stag - ,"#pvp, high recovery + high discipline",Minor Discipline Mod*,Orbs of Restoration*,Absolution*,Kinetic Weapon Surge*,Imperial Opulence*,Upgrade Armor*,*,*,*,*,Iron Forerunner Boots*,Visage of the Reaper*,
Bond of Detestation,2915322487,"""6917529876367359424""",,Legendary,Warlock Bond,nightmare,Warlock,1810,,10,Warlock(1816),true,false,6,20,,2,7,2,2,2,2,17,0,0,0,0,0,0,0,rootofnightmares,,#raid,Minor Resilience Mod*,Time Dilation*,Reaper*,Photo Finish*,Upgrade Armor*,Release Recover*,,,,,,,
Deep Explorer Bond,2694773307,"""6917529804444664764""",,Legendary,Warlock Bond,duality,Warlock,1807,,10,Warlock(1816),true,false,5,17,,2,7,5,2,2,2,20,0,0,0,0,0,0,0,artifice,"Rain of Fire - , Phoenix Protocol - , Sunbracers - , Starfire Protocol - , Dawn Chorus - , Raid, Delta, Solar",#pve #solar,Minor Resilience Mod*,Proximity Ward*,Reaper*,Time Dilation*,Photo Finish*,Upgrade Armor*,Streetscholar Bond*,Recovery-Forged*,Artifice Armor*,,,,
TM-Moss Custom Bond,2341879253,"""6917529862414223060""",,Legendary,Warlock Bond,dungeon,Warlock,1810,,10,Warlock(1816),true,false,5,19,,2,7,5,2,2,2,20,0,0,0,0,0,0,0,artifice,,#pve #stasis,Minor Resilience Mod*,Bulwark Finisher*,Font of Restoration*,Time Dilation*,Photo Finish*,Upgrade Armor*,Celestial Bond*,Recovery-Forged*,Artifice Armor*,,,,
Iron Forerunner Bond,1045743955,"""6917529455020599699""",,Legendary,Warlock Bond,ironbanner,Warlock,1803,,10,Warlock(1816),true,false,4,15,,2,2,12,2,2,2,22,0,0,0,0,0,0,0,,"PvP Transversives, PvP Eye of Another World - , PvP Stag - , PvP Astrocyte - , PvP Ophidian Aspects - ",#pvp,Recovery Mod*,Bomber*,Bomber*,Utility Kickstart*,Imperial Dress*,Upgrade Armor*,Iron Pledge Ornament*,Iron Lord's Pride*,,,,,
TM-Moss Custom Bond,2341879253,"""6917529856240770916""",,Legendary,Warlock Bond,dungeon,Warlock,1810,,10,Warlock(1816),true,false,5,19,,2,5,2,2,2,12,25,0,0,0,0,0,0,0,artifice,"Stag PvE - , Xenomorph - , Osmiomancy - ,  - Aeons - , Stasis, Dungeon",#pve #arc,Strength Mod*,Reaper*,Special Finisher*,Time Dilation*,Photo Finish*,Upgrade Armor*,Unyielding Favor Bond*,Resilience-Forged*,Artifice Armor*,,,,
Corrupting Echo Bond,4217390949,"""6917529560849472567""",,Legendary,Warlock Bond,30th,Warlock,1810,,10,Warlock(1816),true,false,4,15,,2,5,7,2,2,2,20,0,0,0,0,0,0,0,artifice,"Secant Filaments - , Chromatic Fire - ,  - Stormdancers - ,  - Crown of Tempest - , Void",#pve #void,Minor Recovery Mod*,Powerful Attraction*,Reaper*,Time Dilation*,Photo Finish*,Upgrade Armor*,Virtuous Bond*,Resilience-Forged*,Artifice Armor*,,,,
Corrupting Echo Cover,3171090615,"""6917529902667808318""",,Legendary,Helmet,30th,Warlock,1800,,10,Warlock(1816),true,true,4,15,,4,25,14,23,7,12,85,2,23,7,21,2,10,65,artifice,"A DPS Loadout - , Necrotic Grips - , Chromatic Fire - ,  - Aeons - , Strand","#pve, high resilience + high discipline, #replace id:""6917529857149013186""",Minor Recovery Mod*,Kinetic Siphon*,Arc Siphon*,Heavy Ammo Finder*,Rasmussen Clan*,Upgrade Armor*,*,*,*,*,Hood of the Taken King*,Intellect-Forged*,Artifice Armor*
Necrotic Grip,2780717641,"""6917529854207178989""",,Exotic,Gauntlets,lostsectors,Warlock,1810,,10,Warlock(1816),true,true,4,12,,4,12,23,32,8,9,88,2,10,21,20,6,7,66,,"A DPS Loadout - , Necrotic Grips - , Strand","#strand #pve, high recovery + high discipline",Discipline Mod*,Heavy Handed*,Impact Induction*,Focusing Strike*,Basalt Toxic*,Upgrade Armor*,*,*,*,*,Replicate Exploit*,Grasp of the Devourer*,
Deep Explorer Vestments,2057955626,"""6917529804444663084""",,Legendary,Chest Armor,duality,Warlock,1810,,10,Warlock(1816),true,true,5,17,,4,37,7,4,25,8,85,2,30,2,2,23,6,65,artifice,"A DPS Loadout - , Necrotic Grips - , Sunbracers - , Secant Filaments - ,  - Threadlings - , Felwinter's Helm - , Void, Delta, Strand","#pve, high resilience + high intellect",Minor Resilience Mod*,Arc Resistance*,Arc Resistance*,Concussive Dampener*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Atavistic Idol Vestments*,Recovery-Forged*,Artifice Armor*
Vigil of Heroes,4086100104,"""6917529867796317124""",,Legendary,Leg Armor,strikes,Warlock,1810,,10,Warlock(1816),true,true,3,11,,4,32,4,27,9,12,88,2,30,2,15,7,10,66,,"Phoenix Protocol - , A DPS Loadout - , Necrotic Grips - , Sunbracers - , Dawn Chorus - , Felwinter's Helm - , Solar, Strand","#pve, high resilience",Discipline Mod*,Recuperation*,Arc Weapon Surge*,Arc Weapon Surge*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Streetscholar Boots*,,
Deep Explorer Bond,2694773307,"""6917529793208892078""",,Legendary,Warlock Bond,duality,Warlock,1810,,10,Warlock(1816),true,true,5,17,,2,5,2,7,2,2,20,0,0,0,0,0,0,0,artifice,"A DPS Loadout - , Necrotic Grips - ,  - Threadlings - , Felwinter's Helm - , Strand",#pve #strand,Minor Discipline Mod*,Font of Restoration*,Reaper*,Time Dilation*,Malachite Gold*,Upgrade Armor*,Celestine Bond*,Resilience-Forged*,Artifice Armor*,,,,
Wild Hunt Helm,3887272785,"""6917529800391443629""",,Legendary,Helmet,seasonpass,Titan,1600,,10,Titan(1806),true,false,4,12,,4,24,12,23,4,12,79,2,22,10,21,2,10,67,,"Aeons, Synthoceps - , Hoarfrost - , Armamentarium - , Stasis","#pve, high total",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Omega Mechanos Helm*,,,,,,
Deep Explorer Helmet,2610749098,"""6917529834104104790""",,Legendary,Helmet,duality,Titan,1800,,10,Titan(1806),true,false,5,17,,4,28,16,27,4,8,87,2,16,14,25,2,6,65,,"HoIL Arc - , Arc","#pve, high total, replace id:6917529753120372306",Resilience Mod*,Special Ammo Finder*,Harmonic Siphon*,Kinetic Siphon*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Solstice Helm (Majestic)*,,
Khepri's Horn,2384488862,"""6917529856633266708""",,Exotic,Helmet,,Titan,1600,,10,Titan(1806),true,false,1,2,,8,19,10,20,8,11,76,6,17,8,18,6,9,64,,Kepri's Horn - ,"#solar #casual  #pve, #pvp",Carminica*,Upgrade Armor*,*,*,*,*,Technoscarab*,Solar Rampart*,,,,,
Precious Scars,3974038291,"""6917529804911882737""",,Exotic,Helmet,lostsectors,Titan,1600,,10,Titan(1806),true,false,4,12,,4,18,15,18,10,8,73,2,16,13,16,8,6,61,,,"This could be amazing in #pvp with revives, but I think the cooldown makes this less viable in #pve",New Age Black Armory*,Upgrade Armor*,*,*,*,*,Kintsugi*,,,,,,
Cadmus Ridge Lancecap,3574051505,"""6917529905906532266""",,Exotic,Helmet,lostsectors,Titan,1806,,4,Titan(1806),true,false,6,20,,2,15,15,15,2,16,65,2,15,15,15,2,16,65,,,,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Lancer's Vigil*,,,,,,
Loreley Splendor Helm,3316517958,"""6917529684805969011""",,Exotic,Helmet,lostsectors,Titan,1771,,10,Titan(1806),true,false,5,16,,4,15,26,22,8,8,83,2,13,14,20,6,6,61,,"Loreley Splendor - , Solar","#solar, #pvp, #endgame/#casual #pve. restoration on demand is insane",Recovery Mod*,Hands-On*,Harmonic Siphon*,Special Ammo Finder*,Erebos Glance*,Upgrade Armor*,*,*,*,*,Cauterizing Flame*,,
Tusked Allegiance Gauntlets,187431790,"""6917529855030479264""",,Legendary,Gauntlets,psiops,Titan,1789,,10,Titan(1806),true,false,5,16,,4,28,8,23,11,4,78,2,26,6,21,9,2,66,,Kepri's Horn - ,"#pve, high resilience + high discipline",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Radiant Breaker Gauntlets*,,,,,,
Doom Fang Pauldron,241462141,"""6917529263457654203""",,Exotic,Gauntlets,,Titan,1805,,10,Titan(1806),true,false,1,1,,4,18,18,18,8,14,80,2,16,16,16,6,12,68,,,"#void, #casual #pve, high total",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Horns of Doom*,,,,,,
Eidolon Pursuant Gauntlets,2388383505,"""6917529798513193485""",,Legendary,Gauntlets,haunted,Titan,1760,,10,Titan(1806),true,false,5,17,,4,32,14,18,9,12,89,2,30,2,16,7,10,67,,"Loreley Splendor - , Severance Enclosure - , Falling Star - , Armamentarium - , Solar, Void, Raid","#pve, high resilience",Recovery Mod*,Focusing Strike*,Heavy Handed*,Firepower*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Radiant Breaker Gauntlets*,Visage of the Reaper*,
Iron Forerunner Gauntlets,3570243433,"""6917529712599557911""",,Legendary,Gauntlets,ironbanner,Titan,1600,,10,Titan(1806),true,false,4,15,,4,12,23,17,11,9,76,2,10,21,15,9,7,64,,,high recovery,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,,,
Aeon Safe,1654461647,"""6917529797307453385""",,Exotic,Gauntlets,,Titan,1600,,10,Titan(1806),true,false,1,2,,5,22,13,10,22,4,76,3,20,11,8,20,2,64,,Aeons,"#neutral, #endgame #pve, high resilience + high intellect",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Sect of Insight*,,,,,,
Synthoceps,241462142,"""6917529872105281804""",,Exotic,Gauntlets,,Titan,1776,,10,Titan(1806),true,false,1,1,,4,19,16,19,4,12,74,2,17,14,17,2,10,62,,,"#neutral #pve, #pvp",Crucible Redjack*,Upgrade Armor*,*,*,*,*,~flex enhance replicate~*,Biotic Enhancements*,,,,,
Second Chance,1443166262,"""6917529899022058124""",,Exotic,Gauntlets,lostsectors,Titan,1805,,10,Titan(1806),true,false,5,17,,4,19,15,14,16,18,86,2,17,13,12,14,6,64,,,"#void #endgame #pve, this might be useful with the S21 buff, allowing void to stun #barrier, but it's niche",Strength Mod*,Erebos Glance*,Upgrade Armor*,*,*,*,*,Myrmidon's Reach*,,,,,
Severance Enclosure,2326396534,"""6917529208203535954""",,Exotic,Chest Armor,,Titan,1750,,9,Titan(1806),true,false,3,9,,16,8,8,7,9,21,69,16,8,8,2,9,21,64,,"Severance Enclosure - , Void","#neutral, #pve. The #void volatile finisher build for this on is amazing and can clear entire rooms in a finish or two",Minor Discipline Mod*,Solar Resistance*,Concussive Dampener*,Melee Damage Resistance*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Spheromatik Trigger*,,
Deep Explorer Plate,2935559305,"""6917529839987828041""",favorite,Legendary,Chest Armor,duality,Titan,1790,,10,Titan(1806),true,false,5,17,,4,23,12,31,4,4,78,2,21,10,29,2,2,66,artifice,,"#pve, high resilience + high discipline",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Radiant Breaker Plate*,Artifice Armor*,,,,,
Armamentarium,3874247549,"""6917529803491184724""",,Exotic,Chest Armor,,Titan,1600,,10,Titan(1806),true,false,1,3,,15,6,21,31,4,4,81,13,4,19,29,2,2,69,,Armamentarium - ,"#strand/#arc #pve, high discipline",Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Shock Grenadier*,And Another Thing*,,,,,
Hoarfrost-Z,1322544481,"""6917529804794834135""",,Exotic,Chest Armor,lostsectors,Titan,1600,,10,Titan(1806),true,false,5,16,,4,22,14,4,17,18,79,2,20,12,2,15,16,67,,"Hoarfrost - , Stasis","#pvp, #casual #pve",Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Glacial Fortification*,,,,,,
Heart of Inmost Light,1341951177,"""6917529804728478493""",,Exotic,Chest Armor,,Titan,1804,,10,Titan(1806),true,false,2,4,,6,16,19,19,9,14,83,4,14,17,17,7,7,66,,"HoIL Arc - , Arc","#endgame #casual #pve, this #neutral exotic is incredible for getting abilities back.",Minor Strength Mod*,Solar Resistance*,Concussive Dampener*,Melee Damage Resistance*,Photo Finish*,Upgrade Armor*,*,*,*,*,"Abyss, Inverted*",Overflowing Light*,
Cuirass of the Falling Star,2321120637,"""6917529370105498321""",,Exotic,Chest Armor,lostsectors,Titan,1774,,10,Titan(1806),true,false,4,13,,4,11,22,15,12,8,72,2,9,20,13,10,6,60,,"Falling Star - , Raid","#arc, #endgame/#raid #pve",Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Comets Stir in Dream*,Glorious Charge*,,,,,
Deep Explorer Greaves,2649394513,"""6917529840015787989""",,Legendary,Leg Armor,duality,Titan,1778,,10,Titan(1806),true,false,5,17,,4,26,11,18,18,4,81,2,24,6,16,16,2,66,artifice,"Loreley Splendor - , Severance Enclosure - , No Backup Plans - , Hoarfrost - , Falling Star - , Armamentarium - , Solar, Void, Stasis, Raid","#pve, high resilience",Elemental Charge*,Absolution*,Stacks on Stacks*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Unyielding Favor Greaves*,Recovery-Forged*,Artifice Armor*,
Candescent Greaves,2644573111,"""6917529801054413485""",,Legendary,Leg Armor,events,Titan,1764,,10,Titan(1806),true,false,5,17,Solstice,4,22,14,16,4,18,78,2,20,12,14,2,16,66,,Synthoceps - ,"#pve, high total",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Solstice Greaves (Majestic)*,,,,,,
Lion Rampant,3539357318,"""6917529205163054912""",,Exotic,Leg Armor,,Titan,1600,,9,Titan(1806),true,false,1,1,,2,11,18,16,14,2,63,2,11,18,16,14,2,63,,,"#neutral, #pvp",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Jump Jets*,,,,,,
Tusked Allegiance Greaves,2270509928,"""6917529798195741328""",,Legendary,Leg Armor,psiops,Titan,1794,,10,Titan(1806),true,false,5,16,,4,25,15,22,12,4,82,2,23,8,20,10,2,65,,"Kepri's Horn - , HoIL Arc - , Arc","#pve, high resilience + high discipline",Minor Recovery Mod*,Recuperation*,Arc Weapon Surge*,Arc Weapon Surge*,Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Thunderous Impact Greaves*,,
Phoenix Cradle,1537074069,"""6917529797914283970""",,Exotic,Leg Armor,campaign,Titan,1600,,9,Titan(1806),true,false,3,8,,2,12,18,2,16,15,65,2,12,18,2,16,15,65,,,"#solar, #casual #pve",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,execute(Revival)*,Beacons of Empowerment*,,,,,
