Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Astrocyte Verse,3948284065,"""6917529163640395415""",,Exotic,Helmet,,Warlock,1810,,10,Vault,true,false,2,7,,9,8,18,23,10,4,72,7,6,16,21,8,2,60, - PvP Astrocyte - ,"#void, #pvp",Move to Survive*,Calus's Treasured*,,,,,,,,,
Felwinter's Helm,2822465023,"""6917529164929416431""",,Exotic,Helmet,,Warlock,1810,,10,Vault,true,false,3,10,,25,4,9,23,12,4,77,23,2,7,21,10,2,65, - Felwinter's Helm - ,"#neutral, #pve, this seems good with ranged melees as long as they can kill in #endgame",Warlord's End*,Mystophosphor*,,,,,,,,,
Crown of Tempests,3381022969,"""6917529173687287923""",archive,Exotic,Helmet,,Warlock,1600,,9,Vault,true,false,1,1,,3,7,23,15,13,2,63,3,7,23,15,13,2,63,,"#arc, #casual #pve, test vintage timber w/ no orn",Conduction Tines*,Skele-Ghaul*,Diadem of Deceit*,,,,,,,,
Phoenix Protocol,4057299719,"""6917529179404510960""",,Exotic,Chest Armor,,Warlock,1810,,10,Warlock(1824),true,false,2,4,,10,13,20,18,15,4,80,8,11,13,16,13,2,63,Nightfall,"#solar, #endgame #pve, resilience is best stat atm, keep other in case something changes",Battle-Hearth*,Minor Recovery Mod*,Void Resistance*,Void Resistance*,Concussive Dampener*,Vintage Timber*,Phoenixfall*,,,,
Sage Rivalry Bond,3365248655,"""6917529179857656252""",,Legendary,Warlock Bond,events,Warlock,1600,,10,Vault,true,false,3,10,Guardian Games,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#pvp,Spirit of Competition*,Dawning Celebration*,,,,,,,,,
Aeon Swift,3942036043,"""6917529185582681159""",junk,Exotic,Gauntlets,,Hunter,1810,,10,Vault,false,false,1,2,,5,20,25,20,8,9,87,3,8,23,18,6,7,65,Aeons - ,"#neutral #stasis, #endgame #pve",Sect of Insight*,Resilience Mod*,Focusing Strike*,Firepower*,Gambit Jadestone*,,,,,,
Nezarec's Sin,3381022971,"""6917529194142797894""",,Exotic,Helmet,,Warlock,1800,,10,Vault,true,false,1,1,,14,9,17,15,18,4,77,12,7,15,13,16,2,65,,"#void, #casual #pve, if using void guns, it seems like verity's would be more effective since the timer nerf",Abyssal Extractors*,Melchizedek Bramble*,Afraid of the Dark*,,,,,,,,
Dreamer's Mark,2426340790,"""6917529194229609670""",archive,Common,Titan Mark,campaign,Titan,21,,5,Vault,true,false,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Channeling Treads (CODA),2022923313,"""6917529194842726429""",,Legendary,Leg Armor,dungeon,Warlock,1802,,10,Vault,true,false,3,11,,4,15,22,8,28,4,81,2,8,20,6,26,2,64, - PvP Ophidian Aspects - ,"#pvp, high recovery + high intellect",Minor Resilience Mod*,Orbs of Restoration*,Absolution*,Kinetic Weapon Surge*,Crucible Redjack*,Iron Forerunner Boots*,,,,,
Orpheus Rig,193869523,"""6917529194926091154""",,Exotic,Leg Armor,,Hunter,1809,,10,Vault,true,false,1,1,,12,8,17,17,13,4,71,10,6,15,15,11,2,59, - Orpheus Rigs - ,"#void, #endgame/#casual #pve",Uncanny Arrows*,Crucible Redjack*,Calliope's Lullaby*,,,,,,,,
Iron Fellowship Robes,2522706952,"""6917529196900219632""",,Legendary,Chest Armor,ironbanner,Warlock,1600,,10,Vault,true,false,3,11,,4,10,22,19,9,10,74,2,8,20,17,7,8,62, - PvP Transversives,"#pvp, high recovery + high discipline, usually takes sister shader with ada armor, keep for iron banner bonus",Iron Lord's Pride*,Iron Countershade*,Pyrrhic Ascent Vestment*,,,,,,,,
Bond of Sekris,574916072,"""6917529197317824109""",archive,Legendary,Warlock Bond,dcv,Warlock,1600,,10,Vault,true,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#pvp,Kairos Bronze*,Eater of Worlds Ornament*,,,,,,,,,
Vesper of Radius,1725917554,"""6917529198298454490""",infuse,Exotic,Chest Armor,,Warlock,1810,,9,Vault,false,false,1,2,,9,9,16,11,18,2,65,9,9,16,11,18,2,65,,,Planetary Torrent*,Metro Shift*,Transcendent Geometry*,,,,,,,,
Graviton Forfeit,2773056939,"""6917529199641188708""",,Exotic,Helmet,,Hunter,1810,,10,Hunter(1824),true,false,1,2,,24,4,16,15,11,11,81,17,2,14,13,9,9,64,,"#void, incredible for #solo content and for surviving in #endgame #pve",Vanishing Shadow*,Minor Mobility Mod*,Special Ammo Finder*,Heavy Ammo Finder*,Void Siphon*,Luminous Void*,Rigel Crossroads*,,,,
Boots of the Emperor's Agent,3853397100,"""6917529199884090738""",,Legendary,Leg Armor,dcv,Hunter,1600,,10,Vault,true,false,3,11,,14,11,12,27,4,8,76,12,9,10,25,2,6,64,,"#pve, high discipline",Recuperation*,Arc Weapon Surge*,Stacks on Stacks*,Valkyrie Zero*,Crystocrene Strides*,,,,,,
Solstice Plate (Magnificent),3654315694,"""6917529200977106487""",archive,Legendary,Chest Armor,events,Titan,1600,,10,Vault,true,false,3,11,Solstice,10,10,17,21,4,12,74,8,8,15,19,2,10,62,,high discipline,Valkyrie Zero*,,,,,,,,,,
Iron Fellowship Cloak,1248530160,"""6917529203109656115""",,Legendary,Hunter Cloak,ironbanner,Hunter,1600,,10,Vault,true,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,"#pvp, keep for iron banner bonus",Iron Lord's Pride*,Skele-Ghaul*,Lightkin Cloak*,,,,,,,,
Gwisin Vest,1474735276,"""6917529203513476750""",archive,Exotic,Chest Armor,,Hunter,1600,,1,Vault,true,false,2,4,,11,13,11,8,16,7,66,11,13,11,8,16,7,66,,"#void, #pvp",Roving Assassin*,,,,,,,,,,
Citan's Ramparts,1190497097,"""6917529204259176075""",,Exotic,Gauntlets,,Titan,1600,,9,Vault,true,false,3,10,,6,12,13,2,18,11,62,6,12,13,2,18,11,62,,"#neutral, #pvp, high recovery + high intellect",Assault Barricade*,Amethyst Veil*,,,,,,,,,
Lunafaction Boots,4136768282,"""6917529204270002605""",,Exotic,Leg Armor,,Warlock,1600,,9,Vault,true,false,1,1,,15,3,14,23,7,2,64,15,3,14,23,7,2,64,,"#neutral #solar, #raid #pve, bota with emp rift might be a better option post bubble nerf",Alchemical Etchings*,Atmospheric Glow*,Leystriders*,,,,,,,,
An Insurmountable Skullfort,3216110440,"""6917529204270003820""",,Exotic,Helmet,,Titan,1600,,9,Vault,true,false,1,1,,8,8,17,14,13,2,62,8,8,17,14,13,2,62,,"#arc, #casual #pve",Transfusion Matrix*,Valkyrie Zero*,Electronic Mindcage*,,,,,,,,
Lion Rampant,3539357318,"""6917529205163054912""",,Exotic,Leg Armor,,Titan,1809,,9,Titan(1823),true,false,1,1,,12,11,18,16,14,2,73,2,11,18,16,14,2,63,,"#neutral, #pvp",Jump Jets*,Mobility Mod*,Valkyrie Zero*,,,,,,,,
Vest of the Ace-Defiant,2232730709,"""6917529207180348542""",,Legendary,Chest Armor,dcv,Hunter,1600,,10,Vault,true,false,3,11,,8,9,20,24,4,9,74,6,7,18,22,2,7,62,,high recovery + high discipline,Valkyrie Zero*,Nemean Cuirass*,,,,,,,,,
St0mp-EE5,193869520,"""6917529208071927711""",,Exotic,Leg Armor,,Hunter,1810,,9,Vault,true,false,1,1,,16,9,8,19,12,2,66,16,9,8,19,12,2,66,,"#neutral, #pvp, high discipline",Hydraulic Boosters*,Valkyrie Zero*,Turbo-Kickers*,,,,,,,,
Legacy's Oath Bond,2902277629,"""6917529210275085503""",,Legendary,Warlock Bond,deepstonecrypt,Warlock,1600,,10,Vault,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#raid,Phenotype Plasticity Bond*,,,,,,,,,,
Bond of the Great Hunt,3570956455,"""6917529210851977231""",,Legendary,Warlock Bond,lastwish,Warlock,1600,,10,Vault,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#raid,Transcendent Blessing*,Taken Armaments*,Iron Gold*,,,,,,,,
Gloves of the Great Hunt,2850984298,"""6917529210851978170""",archive,Legendary,Gauntlets,lastwish,Warlock,1600,,9,Vault,true,false,4,12,,2,11,16,12,16,6,63,2,11,16,12,16,6,63,,#raid,Transcendent Blessing*,Taken Barrier*,Goldleaf*,Dragonfly Regalia Reaches*,,,,,,,
Legacy's Oath Cloak,1021060724,"""6917529211815816254""",,Legendary,Hunter Cloak,deepstonecrypt,Hunter,1600,,10,Vault,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#pve,Amethyst Veil*,,,,,,,,,,
Legacy's Oath Mark,2956588906,"""6917529213427209006""",archive,Legendary,Titan Mark,deepstonecrypt,Titan,1600,,10,Vault,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,"#raid #pve, make arc",Carbon Blood*,Lustrous Chromite Mark*,,,,,,,,,
Moonfang-X7 Helm,2234240008,"""6917529214184589822""",junk,Legendary,Helmet,dungeon,Titan,1600,,10,Vault,false,false,3,11,,4,4,29,22,14,4,77,2,2,27,20,12,2,65,,"high total, transmog with prestige leviathan helmet",Valkyrie Zero*,Omega Mechanos Helm*,,,,,,,,,
Mask of Bakris,1619425569,"""6917529214504481365""",junk,Exotic,Helmet,lostsectors,Hunter,1600,,10,Vault,false,false,4,12,,16,17,4,15,14,8,74,14,15,2,13,12,6,62,,"#stasis, #pvp",Light Shift*,Skele-Ghaul*,Beastly Visage*,,,,,,,,
Helm of Saint-14,106575079,"""6917529216340262790""",,Exotic,Helmet,,Titan,1797,,10,Vault,true,false,1,2,,4,9,25,22,10,4,74,2,7,23,20,8,2,62,,"#void, #endgame/#raid #pve, high recovery + high discipline",Starless Night*,Tyrian Abyss*,The Fourteenth Anamnesis*,,,,,,,,
Karnstein Armlets,3844826440,"""6917529234893791088""",,Exotic,Gauntlets,,Warlock,1600,,9,Vault,true,false,1,1,,6,3,22,11,6,12,60,6,3,22,11,6,12,60,,"#neutral, #pvp",Vampire's Caress*,Royal Welcome*,Gothic Horror*,,,,,,,,
Wild Hunt Mask,4079117607,"""6917529260512149638""",archive,Legendary,Helmet,seasonpass,Hunter,1600,,10,Vault,true,false,4,12,,9,8,22,8,22,9,78,7,6,20,6,20,7,66,,high recovery + high intellect,Valkyrie Zero*,Pyrrhic Ascent Mask*,,,,,,,,,
Sunbracers,3787517196,"""6917529263169109662""",,Exotic,Gauntlets,,Warlock,1810,,10,Warlock(1824),true,false,1,1,,17,8,18,23,4,10,80,15,6,11,21,2,8,63,Sunbracers - ,"#solar, #casual #pve",Helium Spirals*,Minor Recovery Mod*,Bolstering Detonation*,Momentum Transfer*,Firepower*,Valkyrie Zero*,,,,,
Doom Fang Pauldron,241462141,"""6917529263457654203""",,Exotic,Gauntlets,,Titan,1805,,10,Vault,true,false,1,1,,4,18,18,18,8,24,90,2,16,16,16,6,12,68,,"#void, #casual #pve, high total",Horns of Doom*,Strength Mod*,Momentum Transfer*,Melee Kickstart*,Heavy Handed*,Valkyrie Zero*,,,,,
Stronghold,2240152949,"""6917529263492389196""",,Exotic,Gauntlets,,Titan,1810,,5,Vault,true,false,2,6,,2,12,16,2,17,10,59,2,12,16,2,17,10,59,,"#neutral, #endgame #pve, high recovery + high intellect",Clenched Fist*,Erebos Glance*,Otto's Resolve*,,,,,,,,
Moonfang-X7 Gloves,1361912510,"""6917529279213723780""",,Legendary,Gauntlets,dungeon,Warlock,1810,,10,Vault,true,false,3,11,,4,11,24,22,20,4,85,2,9,22,10,18,2,63," - PvP Stag - ,  - PvP Transversives","#pvp, high recovery + high intellect",Discipline Mod*,Impact Induction*,Fastball*,Kinetic Dexterity*,Coastal Suede*,Iron Fellowship Gloves*,,,,,
Wild Hunt Plate,3351935136,"""6917529292583541462""",archive,Legendary,Chest Armor,seasonpass,Titan,1600,,10,Vault,true,false,4,12,,8,10,21,9,22,8,78,6,8,19,7,20,6,66,,"#pvp, high recovery + high intellect",Valkyrie Zero*,Technosaurus Plate*,,,,,,,,,
Cobra's Hood,539974843,"""6917529350236083694""",,Legendary,Hunter Cloak,events,Hunter,1600,,1,Vault,true,false,4,13,Guardian Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Friendly Competition*,Rustberry*,,,,,,,,,
Phobos Warden Gauntlets,1465405235,"""6917529352350378919""",,Legendary,Gauntlets,strikes,Titan,1795,,10,Titan(1823),true,false,4,14,,4,19,26,20,4,14,87,2,7,24,18,2,12,65,"Hoarfrost - , Stasis","#pve, high recovery + high discipline",Resilience Mod*,Fastball*,Impact Induction*,Heavy Handed*,Crucible Carmine*,Ringwalker Gauntlets*,,,,,
The Path of Burning Steps,1453120846,"""6917529352981474639""",,Exotic,Leg Armor,lostsectors,Titan,1800,,10,Titan(1823),true,false,4,14,,4,11,23,9,18,9,74,2,9,21,7,16,7,62,,"#neutral #solar, #pvp, #casual #pve, high recovery + high intellect",Firewalker*,Skele-Ghaul*,,,,,,,,,
Boots of the Assembler,3045642045,"""6917529353191141979""",,Exotic,Leg Armor,lostsectors,Warlock,1810,,9,Vault,true,false,4,14,,2,12,18,7,16,8,63,2,12,18,7,16,8,63,,"#neutral, #raid #pve, could be good replacement after bubble nerf, but people have to not be in the rift",Blessing of Order*,Crucible Redjack*,Homespun Boots*,,,,,,,,
Light of the Great Prism,3012927512,"""6917529366607507794""",,Legendary,Titan Mark,vaultofglass,Titan,1810,,10,Titan(1823),true,false,4,14,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#raid,Distribution*,Distribution*,Distribution*,Photo Finish*,,,,,,,
Cuirass of the Falling Star,2321120637,"""6917529370105498321""",,Exotic,Chest Armor,lostsectors,Titan,1810,,10,Titan(1823),true,false,4,13,,4,11,22,20,12,8,77,2,9,20,13,10,6,60,"Falling Star - , Raid","#arc, #endgame/#raid #pve",Glorious Charge*,Minor Discipline Mod*,Solar Resistance*,Concussive Dampener*,Sniper Damage Resistance*,Atmospheric Glow*,Comets Stir in Dream*,,,,
The Stag,2177524718,"""6917529377262945880""",,Exotic,Helmet,,Warlock,1810,,10,Warlock(1824),true,false,1,2,,4,9,24,19,8,19,83,2,7,22,17,6,7,61,"Stag PvE - ,  - PvP Stag - , Dungeon","#neutral, #endgame #pve, #pvp, high recovery + high discipline",Dearly Departed*,Strength Mod*,Harmonic Siphon*,Font of Wisdom*,Special Ammo Finder*,Vanguard Burnished Steel*,Capreolinax*,,,,
Getaway Artist,3084282676,"""6917529393561321183""",archive,Exotic,Gauntlets,,Warlock,1810,,1,Vault,true,false,2,6,,2,8,24,16,13,2,65,2,8,24,16,13,2,65,,"#arc, #pvp #pve, high total",Dynamic Duo*,Ayrin's Swagger*,,,,,,,,,
Star-Eater Scales,1001356380,"""6917529394414367968""",,Exotic,Leg Armor,lostsectors,Hunter,1810,,10,Hunter(1824),true,false,4,14,,14,13,22,4,20,13,86,2,11,20,2,18,11,64,"Star Eater Scales - , Raid",#neutral #pve. Probably the best hunter super #dps exotic on every subclass,Feast of Light*,Mobility Mod*,Insulation*,Absolution*,Solar Weapon Surge*,Valkyrie Zero*,,,,,
Starfire Protocol,2082483156,"""6917529397762111142""",,Exotic,Chest Armor,,Warlock,1810,,10,Warlock(1824),true,true,1,1,,4,11,24,29,9,8,85,2,9,22,17,7,6,63,"Starfire Protocol - , Solar","#solar #dps, #endgame #pve with the fragment that lets you heal on grenade kills",Fusion Harness*,Discipline Mod*,Arc Resistance*,Void Resistance*,Concussive Dampener*,Carminica*,Phoenix Fusion*,,,,
Lightkin Cover,1245678091,"""6917529405523100261""",archive,Legendary,Helmet,servitor,Warlock,1600,,10,Vault,true,false,4,14,,4,4,27,4,30,4,73,2,2,25,2,28,2,61, - PvP Transversives,"#pvp, high recovery + high intellect",Vintage Timber*,Dawn Singer Hood*,,,,,,,,,
Assassin's Cowl,2203146422,"""6917529406408311371""",archive,Exotic,Helmet,campaign,Hunter,1600,,10,Vault,true,false,3,8,,12,4,22,16,18,4,76,10,2,20,14,16,2,64,,"#neutral, #casual #pve, probably good for solo #endgame content",Vanishing Execution*,Valkyrie Zero*,,,,,,,,,
Wild Hunt Vestment,317220729,"""6917529412052602651""",archive,Legendary,Chest Armor,seasonpass,Warlock,1600,,9,Vault,true,false,4,12,,2,2,28,2,25,2,61,2,2,28,2,25,2,61,,"#pvp, high recovery + high intellect",Crucible Redjack*,Pyrrhic Ascent Vestment*,,,,,,,,,
Illuminus Grasps (Magnificent),2245996336,"""6917529420810143017""",,Legendary,Gauntlets,events,Hunter,1810,,10,Hunter(1824),true,false,4,14,Solstice,13,4,28,4,24,9,82,6,2,26,2,22,7,65, - PvP - Wormhusk - ,"high recovery + high intellect, #pvp",Minor Mobility Mod*,Heavy Handed*,Font of Focus*,Arc Dexterity*,Highlander*,Streetwise Grips*,,,,,
Claws of Ahamkara,3288917178,"""6917529423720264397""",,Exotic,Gauntlets,,Warlock,1810,,3,Vault,false,false,1,3,,2,6,25,9,8,13,63,2,6,25,9,8,13,63,,"#neutral #stasis, #pve",The Whispers*,,,,,,,,,,
Wormhusk Crown,3562696927,"""6917529426666334094""",junk,Exotic,Helmet,,Hunter,1810,,10,Vault,false,false,1,3,,25,4,19,17,18,4,87,13,2,17,15,16,2,65,,"#neutral, #pvp, #pve, should probably trade this out for the other, but need to check loadout optimizer first",Burning Souls*,Mobility Mod*,Harmonic Siphon*,Arc Siphon*,Heavy Ammo Finder*,Gambit Jadestone*,Acolyte's Ambition*,,,,
Tread of the Hezen Lords,170603856,"""6917529428586363524""",archive,Legendary,Leg Armor,vaultofglass,Warlock,1600,,10,Vault,true,false,4,14,,4,4,26,12,22,4,72,2,2,24,10,20,2,60,,"#raid, high recovery + high intellect",Royal Welcome*,,,,,,,,,,
Kabr's Battlecage,4029224226,"""6917529430646320853""",archive,Legendary,Helmet,vaultofglass,Titan,1600,,10,Vault,true,false,4,14,,4,4,31,14,22,4,79,2,2,29,12,20,2,67,,"#pvp, #raid, high recovery + high intellect",Horizon Blush*,Dragonfly Regalia Helm*,,,,,,,,,
Raiden Flux,2766109872,"""6917529443803672834""",,Exotic,Chest Armor,,Hunter,1600,,1,Vault,true,false,1,1,,4,11,20,2,20,10,67,4,11,20,2,20,10,67,,"#arc, #pve, high recovery + high intellect",Synapse Junctions*,Valkyrie Zero*,Nano Redux*,,,,,,,,
Prime Zealot Mask,586128500,"""6917529450862848596""",,Legendary,Helmet,vaultofglass,Hunter,1600,,10,Vault,true,false,4,14,,4,12,22,21,14,4,77,2,10,20,19,12,2,65,,"#pve, high recovery + high discipline",Valkyrie Zero*,Pyrrhic Ascent Mask*,,,,,,,,,
Pathfinder's Legguards,2675526370,"""6917529450955623764""",,Legendary,Leg Armor,lost,Hunter,1810,,10,Hunter(1824),true,false,4,15,,18,4,28,9,22,4,85,6,2,26,7,20,2,63, - PvP - Wormhusk - ,"#pve, high recovery + high intellect",Mobility Mod*,Recuperation*,Absolution*,Strand Weapon Surge*,Highlander*,Prodigal Strides*,,,,,
Iron Forerunner Bond,1045743955,"""6917529455020599699""",,Legendary,Warlock Bond,ironbanner,Warlock,1803,,10,Warlock(1824),true,false,4,15,,2,2,2,2,2,12,22,0,0,0,0,0,0,0," - PvP Stag - ,  - PvP Ophidian Aspects - ,  - PvP Astrocyte - ,  - PvP Transversives",#pvp,Iron Lord's Pride*,Strength Mod*,Bomber*,Bomber*,Utility Kickstart*,Crucible Redjack*,Iron Pledge Ornament*,,,,
Gloves of the Hezen Lords,3253292022,"""6917529459095091264""",,Legendary,Gauntlets,vaultofglass,Warlock,1805,,10,Warlock(1824),true,false,4,14,,4,14,22,31,12,4,87,2,12,20,19,10,2,65,"Secant Filaments - ,  - Felwinter's Helm - , Verity's Brow - , Void, Gambit","#pve, high recovery + high discipline",Discipline Mod*,Firepower*,Focusing Strike*,Impact Induction*,Epipelagic*,Aphotic Lamellar Gloves*,,,,,
Lightkin Strides,3827066919,"""6917529470061192610""",,Legendary,Leg Armor,servitor,Hunter,1600,,10,Vault,false,false,4,14,,4,11,22,18,14,4,73,2,9,20,16,12,2,61,,high recovery + high total,,,,,,,,,,,
Lightkin Grips,3479737253,"""6917529474036419156""",,Legendary,Gauntlets,servitor,Hunter,1600,,10,Vault,true,false,4,14,,4,4,29,23,4,12,76,2,2,27,21,2,10,64,,high recovery + high discipline,Abyssinian Gold*,,,,,,,,,,
War Mantis,803939997,"""6917529479817496061""",,Rare,Gauntlets,campaign,Hunter,1600,,5,Vault,true,false,2,4,,14,8,28,0,0,0,50,14,8,28,0,0,0,50,,high recovery,,,,,,,,,,,
Lightkin Vest,3436655867,"""6917529482216462124""",archive,Legendary,Chest Armor,servitor,Hunter,1600,,10,Vault,true,false,4,14,,8,8,22,8,26,4,76,6,6,20,6,24,2,64, - Orpheus Rigs - ,"#pvp, high recovery + high intellect",Valkyrie Zero*,Epialos Following Vest*,,,,,,,,,
Dawn Chorus,2316914168,"""6917529496856083417""",,Exotic,Helmet,lostsectors,Warlock,1809,,10,Warlock(1824),true,false,4,12,,12,15,15,4,31,4,81,10,8,13,2,29,2,64, - Dawn Chorus - ,"#casual #pve, high intellect, lots of additional #solar scorch, but starfire is just so good. Have to come back to it",Rites of Ember*,Minor Resilience Mod*,Harmonic Siphon*,Heavy Ammo Finder*,Special Ammo Finder*,Echoed Anger*,Phoenix Renascence*,,,,
Tesseract Trace IV,1655109893,"""6917529500852509773""",,Legendary,Leg Armor,legendaryengram,Warlock,1810,,10,Vault,true,false,3,11,,8,9,26,27,8,4,82,6,7,19,25,6,2,65, - Chromatic Fire - ,"#pve, high recovery + high discipline",Minor Recovery Mod*,Recuperation*,Stasis Weapon Surge*,Void Weapon Surge*,Erebos Glance*,Boots of the Emperor's Minister*,,,,,
Twisting Echo Grips,2308793821,"""6917529552497900613""",archive,Legendary,Gauntlets,30th,Hunter,1600,,10,Vault,true,false,4,15,,13,4,19,10,25,4,75,11,2,17,8,23,2,63,,high intellect + high total,Atmospheric Glow*,Wild Hunt Grasps*,,,,,,,,,
Twisting Echo Grips,2308793821,"""6917529552533358675""",,Legendary,Gauntlets,30th,Hunter,1600,,10,Vault,true,false,4,15,,13,4,24,20,4,12,77,11,2,19,18,2,10,62,,"#pvp, high recovery + high discipline",Artifice Armor*,Recovery-Forged*,Bloody Tooth*,Luxe Sleeves*,,,,,,,
Corrupting Echo Robes,2515293448,"""6917529557559532687""",,Legendary,Chest Armor,30th,Warlock,1810,,10,Warlock(1824),true,false,4,15,,4,20,22,23,11,4,84,2,10,20,21,9,2,64,"Rain of Fire - , Stag PvE - , Secant Filaments - ,  - Dawn Chorus - , Void, Stasis, Delta","#pve, high recovery + high discipline, replace iron fellowship robes since this doesnt have an artifact slot now",Artifice Armor*,Minor Resilience Mod*,Solar Resistance*,Concussive Dampener*,Sniper Damage Resistance*,Resilience-Forged*,Melchizedek Bramble*,Solstice Robes (Magnificent)*,,,
Corrupting Echo Cover,1832715465,"""6917529558026805191""",,Legendary,Helmet,30th,Warlock,1805,,10,Vault,true,false,4,15,,10,4,23,20,18,7,82,8,2,21,13,16,2,62, - PvP Ophidian Aspects - ,"#pvp, high total + high recovery",Artifice Armor*,Minor Discipline Mod*,Arc Targeting*,Hands-On*,Kinetic Targeting*,Strength-Forged*,Crucible Carmine*,Iron Companion Hood*,,,
