Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Blast Furnace,3843477312,"""6917529097003201408""",archive,Legendary,Pulse Rifle,ada,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,2,5,,65,42,35,81,18,0,0,69,450,46,43,47,0,0,0,0,0,0,0,0,0,10,false,0,454,,,"#pve, #pvp",Aggressive Burst*,Rasmussen ISA*,Satou Precision Lens,Tactical Mag*,Alloy Magazine,Feeding Frenzy*,Rampage*,Kill Tracker,Masterworked: Handling*,Crucible Redjack*,,,,,,
Riskrunner,3089417789,"""6917529097257952134""",,Exotic,Submachine Gun,,Energy,Arc,1600,,Range,10,Vault,true,false,1,1,,100,50,20,80,13,0,0,55,900,15,41,71,0,0,0,0,0,0,0,0,0,41,false,0,1673,,,#casual #pve,Arc Conductor*,Arrowhead Brake*,Extended Mag*,Superconductor*,Short-Action Stock*,Kill Tracker,Riskrunner Catalyst*,Third Rail*,,,,,,,,
Duke Mk. 44,2112909414,"""6917529113687603472""",archive,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1600,1060,Range,6,Vault,true,false,2,4,,90,74,92,75,14,0,0,49,120,30,9,40,0,0,0,0,0,0,0,0,0,10,false,0,6,,,"#pvp, 40m before dropoff is absolutely insane",Aggressive Frame*,Fastdraw HCS,SteadyHand HCS*,Crossfire HCS,Rangefinder*,Extended Mag,Ricochet Rounds*,Light Mag,Moving Target*,Crucible Tracker,Targeting Adjuster*,Tier 6: Range*,Mercury Vex Chrome*,,,
Divinity,4103414242,"""6917529113916843137""",,Exotic,Trace Rifle,garden,Energy,Arc,1810,,,,Warlock(1829),true,false,3,8,,100,100,6,67,16,0,0,100,1000,45,94,56,0,0,0,0,0,0,0,0,0,17,false,0,170,,"Xenomorph - , A Current GM Weapon Set - , Raid","#endgame #pve, #overload",Judgment*,Polygonal Rifling*,Particle Repeater*,Penance*,Composite Stock*,Kill Tracker,Sky/Perdition*,,,,,,,,,
Not Forgotten,153979399,"""6917529120341630126""",archive,Legendary,Hand Cannon,crucible,Energy,Solar,1600,1060,Range,10,Vault,true,false,2,4,,100,79,84,71,14,0,0,57,140,54,13,25,0,0,0,0,0,0,0,0,0,10,false,0,318,fotc,,#pvp,Precision Frame*,Extended Barrel*,Accurized Rounds*,Zen Moment*,Magnificent Howl*,Crucible Tracker,Backup Mag*,Masterworked: Range*,Mercury Prophetic*,,,,,,,
Sacred Provenance,2408405461,"""6917529132774483399""",archive,Legendary,Pulse Rifle,garden,KineticSlot,Kinetic,1600,,Handling,10,Vault,true,false,3,11,,70,48,35,74,18,0,0,72,450,36,41,49,0,0,0,0,0,0,0,0,0,10,false,0,16854,,,"#endgame/#casual #pve, #pvp",Aggressive Burst*,Fluted Barrel*,Polygonal Rifling,Extended Mag,Ricochet Rounds*,Rapid Hit*,Kill Clip*,Kill Tracker,Major Spec*,Masterworked: Handling*,Dawning Brilliance*,,,,,
Perfect Paradox,3393519051,"""6917529162323281036""",archive,Legendary,Shotgun,sundial,KineticSlot,Kinetic,1600,1260,Handling,10,Vault,true,false,3,9,,61,70,65,57,12,0,0,36,140,64,7,53,0,0,0,0,0,0,0,0,0,2,false,0,578,,,#pve,Rapid-Fire Frame*,Smoothbore*,Corkscrew Rifling,Extended Mag,Accurized Rounds*,Demolitionist*,Swashbuckler,One-Two Punch*,Kill Tracker,Boss Spec*,Masterworked: Handling*,Bergusian Night*,,,,
Dust Rock Blues,636912560,"""6917529178358779812""",archive,Legendary,Shotgun,tangled,KineticSlot,Kinetic,1600,1060,Range,10,Vault,true,false,2,4,,64,75,70,92,12,0,0,52,65,41,5,34,0,0,0,0,0,0,0,0,0,17,false,0,408,,,#pvp,Precision Frame*,Smallbore*,Corkscrew Rifling,Tactical Mag,Accurized Rounds*,Slideshot*,Snapshot Sights*,Crucible Tracker,Icarus Grip*,Masterworked: Range*,Calus's Treasured*,Shifting Loyalties*,,,,
Felwinter's Lie,1179141605,"""6917529188997341993""",archive,Legendary,Shotgun,rasputin,Energy,Solar,1600,,Range,10,Vault,true,false,3,10,,62,33,80,41,12,0,0,19,55,34,4,26,0,0,0,0,0,0,0,0,0,17,false,0,2029,,,#pvp,Shot Package*,Full Choke*,Accurized Rounds*,Slideshot*,Surplus,Opening Shot*,Vorpal Weapon,Crucible Tracker,Icarus Grip*,Masterworked: Range*,Dreaming Spectrum*,,,,,
Witherhoard,2357297366,"""6917529193616264527""",favorite,Exotic,Grenade Launcher,,KineticSlot,Kinetic,1806,,Handling,10,Warlock(1829),true,false,3,11,,100,84,0,0,12,5,12,68,90,33,6,100,0,0,0,0,0,0,0,0,0,6,false,0,19240,,"Starfire Protocol - , Weavewalker - , A Current GM Weapon Set - , Nightfall",#endgame/#casual #pve #dps,Primeval's Torment*,Countermass*,Black Powder*,Break the Bank*,Composite Stock*,Kill Tracker,Drowned in Strife*,Witherhoard Catalyst*,,,,,,,,
Trinity Ghoul,814876685,"""6917529194100176256""",,Exotic,Combat Bow,,Energy,Arc,1600,,"Charge Time, Draw Time",10,Vault,true,false,2,4,,77,74,80,0,18,0,0,45,0,60,0,63,0,648,95,0,0,0,0,0,0,24,false,0,29370,,,#casual #pve,Split Electron*,High Tension String*,Compact Arrow Shaft*,Lightning Rod*,Kill Tracker,Trinity Ghoul Catalyst*,Tangled Outrider*,,,,,,,,,
Gnawing Hunger,821154603,"""6917529197066407035""",archive,Legendary,Auto Rifle,gambitprime,Energy,Void,1792,,Handling,10,Vault,true,false,3,11,,54,65,21,58,16,0,0,43,600,87,43,73,0,0,0,0,0,0,0,0,0,10,false,0,8498,,,#endgame/#casual #pve. Field prep + drop mag gives this weapon 90ms reload and feels great to just hold M1 forever.,Adaptive Frame*,Fluted Barrel,Hammer-Forged Rifling*,Drop Mag*,Alloy Magazine,Field Prep*,Multikill Clip,Demolitionist*,Kill Tracker,Major Spec*,Masterworked: Handling*,Dreaming Spectrum*,,,,
Hammerhead,603242241,"""6917529198115975326""",archive,Legendary,Machine Gun,ada,Power,Void,1600,1060,Handling,10,Vault,true,false,2,5,,85,90,41,75,15,0,0,60,450,64,60,50,0,0,0,0,0,0,0,0,0,6,false,0,60,,,#pve,Adaptive Frame*,Extended Barrel*,Full Bore,Extended Mag,High-Caliber Rounds*,Feeding Frenzy*,Rampage*,Kill Tracker,Major Spec*,Masterworked: Handling*,Satou Tribe*,,,,,
Falling Guillotine,614426548,"""6917529199014775899""",,Legendary,Sword,seasonpass,Power,Void,1810,,Impact,10,Vault,true,false,3,11,,0,0,65,0,0,0,0,0,0,0,61,0,0,0,0,20,0,0,90,40,0,0,false,0,2819,,,"#endgame/#casual #pve, #dps",Vortex Frame*,Hungry Edge,Jagged Edge,Tempered Edge*,Enduring Guard*,Heavy Guard,Relentless Strikes*,Surrounded,Whirlwind Blade*,Kill Tracker,Boss Spec*,Masterworked: Impact*,Shadow Gilt*,Riptide*,,
"First In, Last Out",3616586446,"""6917529202933900944""",,Legendary,Shotgun,contact,Energy,Arc,1600,,Stability,2,Vault,true,false,3,11,,58,27,70,73,12,0,0,47,65,45,6,65,0,0,0,0,0,0,0,0,0,2,false,0,0,suros,,#pvp,Pinpoint Slug Frame*,Corkscrew Rifling*,Full Bore,Extended Mag,Accurized Rounds*,Slideshot*,Demolitionist,Opening Shot*,Kill Tracker,Boss Spec*,Tier 2: Stability*,First Frost*,,,,
Crimil's Dagger,4292849692,"""6917529204624265886""",archive,Legendary,Hand Cannon,ironbanner,KineticSlot,Kinetic,1810,,Range,10,Vault,true,false,3,11,,98,72,92,73,14,0,0,26,120,24,13,26,0,0,0,0,0,0,0,0,0,10,false,0,1960,hakke,,"#endgame #pve, #overload",Aggressive Frame*,TrueSight HCS*,Crossfire HCS,Accurized Rounds,Appended Mag*,Auto-Loading Holster*,Explosive Payload*,Kill Tracker,Backup Mag*,Masterworked: Range*,Iron Vendetta*,,,,,
Sunshot,2907129557,"""6917529205157389072""",,Exotic,Hand Cannon,,Energy,Solar,1810,,"Stability, Range",10,Hunter(1828),true,false,1,1,,100,60,80,71,14,0,0,65,150,72,12,91,0,0,0,0,0,0,0,0,0,27,false,0,5707,,"Solar, Solar","#casual #pve, #solar",Sunburn*,Chambered Compensator*,Accurized Rounds*,Sun Blast*,Textured Grip*,Kill Tracker,Sunshot Catalyst*,Quark Star*,,,,,,,,
Ace of Spades,347366834,"""6917529209641875147""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,,10,Vault,true,false,2,4,,100,70,84,85,14,0,0,50,140,42,13,50,0,0,0,0,0,0,0,0,0,14,false,0,355,,,#pvp,Memento Mori*,Corkscrew Rifling*,High-Caliber Rounds*,Firefly*,Smooth Grip*,Crucible Tracker,Ace of Spades Catalyst*,Last Hand*,,,,,,,,
Interference VI,2257180473,"""6917529209901499274""",,Legendary,Grenade Launcher,legendaryengram,Power,Arc,1600,,Blast Radius,6,Vault,true,false,3,10,,66,61,0,0,13,71,24,48,120,40,6,35,0,0,0,0,0,0,0,0,0,6,false,0,0,hakke,,#endgame #pve,Adaptive Frame*,Volatile Launch*,Countermass,Spike Grenades*,Augmented Drum,Auto-Loading Holster*,Full Court*,Kill Tracker,Boss Spec*,Tier 6: Blast Radius*,Dreaming Spectrum*,,,,,
The Lament,3487253372,"""6917529210074257501""",,Exotic,Sword,europa,Power,Solar,1810,,,,Warlock(1829),true,false,4,12,,0,0,78,0,0,0,0,0,0,0,58,0,0,0,0,20,50,0,90,40,0,0,false,0,72,,,"#endgame/#casual #pve, #barrier",Banshee's Wail*,Jagged Edge*,Enduring Guard*,Tireless Blade*,Revved Consumption*,Kill Tracker,The Logic*,,,,,,,,,
Seventh Seraph SAW,2582755344,"""6917529210815727600""",archive,Legendary,Machine Gun,rasputin,Power,Arc,1600,,Handling,10,Vault,true,false,3,10,,51,30,70,62,16,0,0,32,360,11,56,33,0,0,0,0,0,0,0,0,0,16,false,0,408,,,"#endgame/#casual #pve, if there's ever #barrier mg this thing will slap",High-Impact Frame*,Arrowhead Brake,Chambered Compensator*,Extended Mag*,Armor-Piercing Rounds,Auto-Loading Holster*,Vorpal Weapon*,Kill Tracker,Major Spec*,Masterworked: Handling*,Calus's Treasured*,,,,,
Night Watch,3504336176,"""6917529237207828553""",,Legendary,Scout Rifle,gambitprime,KineticSlot,Kinetic,1600,,Stability,10,Vault,true,false,3,11,,57,69,60,47,20,0,0,45,200,88,16,65,0,0,0,0,0,0,0,0,0,10,false,0,1963,,,"#endgame #pve, #barrier/#overload for damage increase and reducing required shot count. DROP MAG IS NUTS",Lightweight Frame*,Fluted Barrel,Hammer-Forged Rifling*,Drop Mag*,Extended Mag,Rapid Hit*,Explosive Payload*,Kill Tracker,Major Spec*,Masterworked: Stability*,Skele-Ghaul*,Insomnia*,,,,
The Steady Hand,2220884262,"""6917529241211660097""",,Legendary,Hand Cannon,ironbanner,KineticSlot,Kinetic,1600,,Stability,10,Vault,true,false,4,12,,85,70,92,70,14,0,0,55,120,0,8,20,0,0,0,0,0,0,0,0,0,10,false,0,376,,,"#pvp, this gun has insane stats for a 120, and outlaw offsets the reload loss from iron grip",Aggressive Frame*,HitMark HCS*,Sureshot HCS,Alloy Magazine,Light Mag*,Outlaw*,Iron Grip*,Crucible Tracker,Quick Access Sling*,Masterworked: Stability*,Warbrick*,,,,,
Salvager's Salvo,2060863616,"""6917529282207613449""",favorite,Legendary,Grenade Launcher,banshee,Energy,Arc,1800,,Handling,10,Vault,true,false,4,13,,75,70,0,0,13,100,80,36,90,70,1,95,0,0,0,0,0,0,0,0,0,2,false,0,10603,,,"#endgame/#casual #pve, #dps",Lightweight Frame*,Quick Launch*,Spike Grenades*,Ambitious Assassin,Demolitionist*,Vorpal Weapon,Chain Reaction*,Kill Tracker,Minor Spec*,Masterworked: Handling*,Calus's Treasured*,Toxicology*,,,,
Multimach CCX,3717177717,"""6917529283631364325""",,Legendary,Submachine Gun,ironbanner,KineticSlot,Kinetic,1600,,Stability,10,Vault,true,false,4,13,,100,55,15,38,14,0,0,48,900,26,36,78,0,0,0,0,0,0,0,0,0,27,false,0,13,,,#pvp,Lightweight Frame*,IS 2 Classic,Model 6 Loop*,Extended Mag,Alloy Magazine*,Killing Wind*,Kill Clip*,Crucible Tracker,Icarus Grip*,Masterworked: Stability*,Oiled Algae*,,,,,
Igneous Hammer,2351180975,"""6917529307636701249""",,Legendary,Hand Cannon,trials,Energy,Solar,1810,,Stability,10,Vault,false,false,4,13,,95,74,92,75,14,0,0,45,120,10,12,37,0,0,0,0,0,0,0,0,0,33,false,0,592,,,#pvp,Aggressive Frame*,Extended Barrel,Hammer-Forged Rifling*,Extended Mag*,Armor-Piercing Rounds,Rapid Hit*,Snapshot Sights*,Crucible Tracker,Targeting Adjuster*,Masterworked: Stability*,Calus's Selected*,,,,,
The Messenger,3658188704,"""6917529307642856733""",,Legendary,Pulse Rifle,trials,KineticSlot,Kinetic,1600,,Reload Speed,10,Vault,true,false,4,13,,85,37,33,71,18,0,0,64,340,48,31,26,0,0,0,0,0,0,0,0,0,20,false,0,0,,,#pvp,High-Impact Frame*,Chambered Compensator*,Corkscrew Rifling,High-Caliber Rounds*,Ricochet Rounds,Rapid Hit*,Kill Clip*,Kill Tracker,Counterbalance Stock*,Masterworked: Reload Speed*,,,,,,
Sola's Scar,1313528549,"""6917529326680026155""",,Legendary,Sword,trials,Power,Solar,1600,,Impact,5,Vault,true,false,4,13,,0,0,62,0,0,0,0,0,0,0,63,0,0,0,0,50,0,0,90,40,0,0,false,0,0,,,#casual #pve,Caster Frame*,Hungry Edge*,Enduring Blade,Honed Edge,Enduring Guard*,Heavy Guard,Tireless Blade*,Chain Reaction*,Kill Tracker,Tier 5: Impact*,,,,,,
The Palindrome (Adept),1481892490,"""6917529335574271713""",,Legendary,Hand Cannon,nightfall,Energy,Void,1600,,Reload Speed,1,Vault,true,false,4,13,,98,79,84,80,14,0,0,58,140,43,11,45,0,0,0,0,0,0,0,0,0,21,false,0,0,,,#pvp,Adaptive Frame*,Chambered Compensator,Full Bore*,High-Caliber Rounds,Ricochet Rounds*,Quickdraw*,Rangefinder*,Kill Tracker,Adept Range*,Tier 1: Reload Speed*,,,,,,
Igneous Hammer,2351180975,"""6917529350176620428""",,Legendary,Hand Cannon,trials,Energy,Solar,1600,,Range,10,Vault,true,false,4,13,,95,74,92,90,14,0,0,45,120,30,9,37,0,0,0,0,0,0,0,0,0,23,false,0,244,,,"#pvp, #casual #pve",Aggressive Frame*,Fluted Barrel,Hammer-Forged Rifling*,Alloy Magazine,Ricochet Rounds*,Quickdraw*,Rampage*,Crucible Tracker,Targeting Adjuster*,Masterworked: Range*,Seven Sisters*,,,,,
Deathbringer,2232171099,"""6917529351106253848""",,Exotic,Rocket Launcher,,Power,Void,1600,,,10,Vault,true,false,3,8,,58,72,0,0,20,100,35,53,15,63,1,66,0,0,0,0,0,0,0,0,0,3,false,0,554,,,"#endgame/#casual #pve, really good for burst #dps, but not great for champions",Dark Deliverance*,Volatile Launch*,Alloy Casing*,Dark Descent*,Composite Stock*,Kill Tracker,Dragonbone*,Deathbringer Catalyst*,,,,,,,,
Hawkmoon,3856705927,"""6917529358679468872""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,Magazine,10,Vault,true,false,4,12,,96,93,84,52,14,0,0,73,140,59,9,91,0,0,0,0,0,0,0,0,0,26,false,0,0,,,#pvp,Paracausal Shot*,Fluted Barrel*,Alloy Magazine*,Opening Shot*,Smooth Grip*,Crucible Tracker,Hawkmoon Catalyst*,,,,,,,,,
"First In, Last Out",3616586446,"""6917529364402245407""",,Legendary,Shotgun,contact,Energy,Arc,1600,,Range,10,Vault,true,false,3,11,,58,27,70,75,12,0,0,52,65,55,7,60,0,0,0,0,0,0,0,0,0,2,false,0,6,suros,,#endgame/#casual #pve,Pinpoint Slug Frame*,Fluted Barrel,Smallbore*,Tactical Mag*,Accurized Rounds,Auto-Loading Holster*,Surrounded*,Kill Tracker,Boss Spec*,Masterworked: Range*,First Frost*,,,,,
Ignition Code,304659313,"""6917529369206341894""",,Legendary,Grenade Launcher,servitor,KineticSlot,Kinetic,1600,,Velocity,10,Vault,true,false,4,14,,75,71,0,0,13,0,92,28,90,64,1,79,0,0,0,0,0,0,0,0,0,2,false,0,1626,,,"#endgame/#casual #pve, #pvp",Lightweight Frame*,Linear Compensator,Quick Launch*,Disorienting Grenades*,Proximity Grenades,Slideshot*,Demolitionist*,Kill Tracker,Boss Spec*,Masterworked: Velocity*,Royal Dye*,,,,,
Shayura's Wrath,3682803680,"""6917529401902771601""",,Legendary,Submachine Gun,trials,Energy,Void,1600,,Handling,10,Vault,true,false,4,14,,95,60,25,69,15,0,0,49,600,39,27,37,0,0,0,0,0,0,0,0,0,25,false,0,233,,,#pvp,Precision Frame*,Full Bore,Hammer-Forged Rifling*,Accurized Rounds,Flared Magwell*,Killing Wind*,Kill Clip*,Kill Tracker,Minor Spec*,Masterworked: Handling*,Nectar Dynamo*,,,,,
Chroma Rush,1119734784,"""6917529402768903900""",,Legendary,Auto Rifle,servitor,KineticSlot,Kinetic,1600,,Stability,10,Vault,true,false,4,14,,75,85,18,20,16,0,0,81,720,47,51,45,0,0,0,0,0,0,0,0,0,17,false,0,0,,,"#pvp, range dif between 28 and 42 is ~2m",Rapid-Fire Frame*,Arrowhead Brake*,Polygonal Rifling,Appended Mag,Steady Rounds*,Tunnel Vision*,Kill Clip*,Crucible Tracker,Targeting Adjuster*,Masterworked: Stability*,Royal Welcome*,,,,,
